,original_title,ISBN,ISSN,DOI,URLs,Proceedings title,Abstract,Authors,Journal,Publication year,Date published,URLs,title,keep_title
30,DeepMMSE: A Deep Learning Approach to MMSE-Based Noise Power Spectral Density Estimation,,2329-9290,10.1109/TASLP.2020.2987441,https://doi.org/10.1109/TASLP.2020.2987441;http://dx.doi.org/10.1109/TASLP.2020.2987441,,"An accurate noise power spectral density (PSD) tracker is an indispensable component of a single-channel speech enhancement system. Bayesian-motivated minimum mean-square error (MMSE)-based noise PSD estimators have been the most prominent in recent time. However, they lack the ability to track highly non-stationary noise sources due to current methods of a priori signal-to-noise (SNR) estimation. This is caused by the underlying assumption that the noise signal changes at a slower rate than the speech signal. As a result, MMSE-based noise PSD trackers exhibit a large tracking delay and produce noise PSD estimates that require bias compensation. Motivated by this, we propose an MMSE-based noise PSD tracker that employs a temporal convolutional network (TCN) a priori SNR estimator. The proposed noise PSD tracker, called DeepMMSE makes no assumptions about the characteristics of the noise or the speech, exhibits no tracking delay, and produces an accurate estimate that requires no bias correction. Our extensive experimental investigation shows that the proposed DeepMMSE method outperforms state-of-the-art noise PSD trackers and demonstrates the ability to track abrupt changes in the noise level. Furthermore, when employed in a speech enhancement framework, the proposed DeepMMSE method is able to outperform state-of-the-art noise PSD trackers, as well as multiple deep learning approaches to speech enhancement. Availability: DeepMMSE is available at: https://github.com/anicolson/DeepXi.","Zhang Q,Nicolson A,Wang M,Paliwal KK,Wang C","IEEE/ACM Trans. Audio, Speech and Lang. Proc.",2020,2020-05,https://doi.org/10.1109/TASLP.2020.2987441;http://dx.doi.org/10.1109/TASLP.2020.2987441,deepmmse a deep learning approach to mmse based noise power spectral density estimation,0
33,Predicting Energy Consumption Relevant Indicators of Strong Scaling HPC Applications for Different Compute Resource Configurations,"9,78151E+12",,,,Proceedings of the Symposium on High Performance Computing,"Finding the best energy-performance tradeoffs for High Performance Computing (HPC) applications is a major challenge for many modern supercomputing centers. With the increased focus on data center energy efficiency and the emergence of possible data center power constraints, making the right decision at a given time is becoming more important. A real-world situation like ""can a given 1000 compute node application be executed at a maximum of 2.7 GHz CPU frequency without going over the energy provider defined power band, or the available monthly energy limit?"" is just one example of the types of decisions HPC data centers will face. The previously developed Adaptive Energy and Power Consumption Prediction (AEPCP) model answers this question for the case of a fixed CPU frequency. This paper will extend the AEPCP process to enable the development of analytical models for estimating application execution time, power, and energy consumptions as functions of the number of compute nodes and maximum operating CPU frequency. Based on these analytical models, an adaptive model (Lightweight Adaptive Consumption Prediction (LACP)) is presented that implements the extended prediction process. This information allows for improved estimation of potential energy-performance costs and tradeoffs of applications and thus identifies the optimal resource configuration for specific data center boundary conditions.","Shoukourian H,Wilde T,Auweter A,Bode A,Tafani D",,2015,2015,,predicting energy consumption relevant indicators of strong scaling hpc applications for different compute resource configurations,0
34,Pathogenicity Prediction of Single Amino Acid Variants With Machine Learning Model Based on Protein Structural Energies,,1545-5963,10.1109/TCBB.2021.3139048,https://doi.org/10.1109/TCBB.2021.3139048;http://dx.doi.org/10.1109/TCBB.2021.3139048,,"The most popular tools for predicting pathogenicity of single amino acid variants (SAVs) were developed based on sequence-based techniques. SAVs may change protein structure and function. In the context of van der Waals force and disulfide bridge calculations, no method directly predicts the impact of mutations on the energies of the protein structure. Here, we combined machine learning methods and energy scores of protein structures calculated by Rosetta Energy Function 2015 to predict SAV pathogenicity. The accuracy level of our model (0.76) is higher than that of six prediction tools. Further analyses revealed that the differential reference energies, attractive energies, and solvation of polar atoms between wildtype and mutant side-chains played essential roles in distinguishing benign from pathogenic variants. These features indicated the physicochemical properties of amino acids, which were observed in 3D structures instead of sequences. We added 16 features to Rhapsody (the prediction tool we used for our data set) and consequently improved its performance. The results indicated that these energy scores were more appropriate and more detailed representations of the pathogenicity of SAVs.","Wu TH,Lin PC,Chou HH,Shen MR,Hsieh SY",IEEE/ACM Trans. Comput. Biol. Bioinformatics,2022,2022-12,https://doi.org/10.1109/TCBB.2021.3139048;http://dx.doi.org/10.1109/TCBB.2021.3139048,pathogenicity prediction of single amino acid variants with machine learning model based on protein structural energies,0
35,Neural Network-Based Prediction Algorithms for In-Door Multi-Source Energy Harvesting System for Non-Volatile Processors,"9,78145E+12",,10.1145/2902961.2903037,https://doi.org/10.1145/2902961.2903037;http://dx.doi.org/10.1145/2902961.2903037,Proceedings of the 26th Edition on Great Lakes Symposium on VLSI,"Due to size, longevity, safety, and recharging concerns, energy harvesting is becoming a better choice for many wearable embedded systems than batteries. However, harvested energy is intrinsically unstable. In order to overcome this drawback, non-volatile processors (NVPs) have been proposed to bridge intermittent program execution. However, even with NVPs, frequent power interruptions will severely degrade system performance. Hence, in this paper we adopt a multi-source in-door energy harvesting architecture to compensate the shortcoming of single energy source. We further investigate power harvesting prediction techniques, which are critical for NVP systems since they can coordinate with task scheduler in the NVP system to compensate the intermittent ambient energy harvesting. We investigate prediction methods both for single energy harvesting source and for multiple energy harvesting sources, the total output power of which is more stable compared with the single source case. A comprehensive evaluation framework has been developed using actually measured harvesting traces on the proposed neural network-based power harvesting prediction methods. It turns out that the most favorable prediction methods are directly predicting the total output power of DC-DC converters (connecting between energy sources and NVP), or predicting the total input power of DC-DC converters first and then inferring the total output power using a learned mapping function, for multi-source power harvesting predictions.","Liu N,Ding C,Wang Y,Hu J",,2016,2016,https://doi.org/10.1145/2902961.2903037;http://dx.doi.org/10.1145/2902961.2903037,neural network based prediction algorithms for in door multi source energy harvesting system for non volatile processors,0
38,Deployment of a Machine Learning System for Predicting Lawsuits Against Power Companies: Lessons Learned from an Agile Testing Experience for Improving Software Quality,"9,78145E+12",,10.1145/3439961.3439991,https://doi.org/10.1145/3439961.3439991;http://dx.doi.org/10.1145/3439961.3439991,Proceedings of the XIX Brazilian Symposium on Software Quality,"The advances in Machine Learning (ML) require software organizations to evolve their development processes in order to improve the quality of ML systems. Within the software development process, the testing stage of an ML system is more critical, considering that it is necessary to add data validation, trained model quality evaluation, and model validation to traditional unit, integration tests and system tests. In this paper, we focus on reporting the lessons learned of using model testing and exploratory testing within the context of the agile development process of an ML system that predicts lawsuits proneness in energy supply companies. Through the development of the project, the SCRUM agile methodology was applied and activities related to the development of the ML model and the development of the end-user application were defined. After the testing process of the ML model, we managed to achieve 93.89 accuracy; 95.58 specificity; 88.84 sensitivity; and 87.09 precision. Furthermore, we focused on the quality of use of the application embedding the ML model, by carrying out exploratory testing. As a result, through several iterations, different types of defects were identified and corrected. Our lessons learned support software engineers willing to develop ML systems that consider both the ML model and the end-user application.","Rivero L,Diniz J,Silva G,Borralho G,Braz Junior G,Paiva A,Alves E,Oliveira M",,2021,2021,https://doi.org/10.1145/3439961.3439991;http://dx.doi.org/10.1145/3439961.3439991,deployment of a machine learning system for predicting lawsuits against power companies lessons learned from an agile testing experience for improving software quality,0
39,Machine Learning Predictive Model for the Passive Transparency at the Brazilian Ministry of Mines and Energy,"9,78145E+12",,10.1145/3463677.3463715,https://doi.org/10.1145/3463677.3463715;http://dx.doi.org/10.1145/3463677.3463715,DG.O2021: The 22nd Annual International Conference on Digital Government Research,"This paper presents a case study based on the CRISP-DM Model and the use of Text Mining tools and techniques to automate the Passive Transparency process at the Brazilian Ministry of Mines and Energy. Thus, a Machine Learning Model is proposed to predict the class of the technical unit responsible for the data/information requested by citizens. Through the application of the algorithm LDA and TF-IDF it was possible to map the topics of the most relevant subjects for society. The stability of the model was tested from the comparative analysis between 5 known classification algorithms (Random Forest, Multinomial NB, Linear SVC, Logistic Regression, XGBoost and Gradient Boosting). XGBoost presented better performance and precision in multiclass learning outcomes.","Palma I,Ladeira M,Reis AC",,2021,2021,https://doi.org/10.1145/3463677.3463715;http://dx.doi.org/10.1145/3463677.3463715,machine learning predictive model for the passive transparency at the brazilian ministry of mines and energy,0
41,Machine Learning Approach for Fast Electromigration Aware Aging Prediction in Incremental Design of Large Scale On-Chip Power Grid Network,,1084-4309,10.1145/3399677,https://doi.org/10.1145/3399677;http://dx.doi.org/10.1145/3399677,,"With the advancement of technology nodes, Electromigration (EM) signoff has become increasingly difficult, which requires a considerable amount of time for an incremental change in the power grid (PG) network design in a chip. The traditional Blacks empirical equation and Blechs criterion are still used for EM assessment, which is a time-consuming process. In this article, for the first time, we propose a machine learning (ML) approach to obtain the EM-aware aging prediction of the PG network. We use neural network--based regression as our core ML technique to instantly predict the lifetime of a perturbed PG network. The performance and accuracy of the proposed model using neural network are compared with the well-known standard regression models. We also propose a new failure criterion based on which the EM-aging prediction is done. Potential EM-affected metal segments of the PG network is detected by using a logistic-regression--based classification ML technique. Experiments on different standard PG benchmarks show a significant speedup for our ML model compared to the state-of-the-art models. The predicted value of MTTF for different PG benchmarks using our approach is also better than some of the state-of-the-art MTTF prediction models and comparable to the other accurate models.","Dey S,Nandi S,Trivedi G",ACM Trans. Des. Autom. Electron. Syst.,2020,2020-07,https://doi.org/10.1145/3399677;http://dx.doi.org/10.1145/3399677,machine learning approach for fast electromigration aware aging prediction in incremental design of large scale on chip power grid network,0
42,Automatic Inspection Drone with Deep Learning-Based Auto-Tracking Camera Gimbal to Detect Defects in Power Lines,"9,78145E+12",,10.1145/3387168.3387176,https://doi.org/10.1145/3387168.3387176;http://dx.doi.org/10.1145/3387168.3387176,"Proceedings of the 3rd International Conference on Vision, Image and Signal Processing","The traditional drone inspection performed by human operators is unsuited for the purpose of inspecting power transmission lines, because steel towers and their spans are too high and wide to be inspected with a 250 m line of sight. For this reason, the KEPCO Research Institute developed a new inspection drone system that can automatically fly a predetermined flight path based on the GPS coordinates of steel towers, filming a video of power transmission lines with a high definition camera and a thermal imaging camera. In this system, a camera gimbal with the cameras was still controlled by a human operator from a long distance away. When the drone approached close to a steel tower, however, the camera gimbal was often unable to be controlled and real-time video transmission for the gimbal operator was sometimes interrupted due to radio-frequency interference from steel structure and energized power conductors. To solve such a control problem in the field, we also developed an auto-tracking camera gimbal that can automatically track and photograph power facilities on the basis of Deep Learning. With the automatic gimbal, the entire inspection process can be fully automated. The effectiveness of the developed overall system was confirmed through field tests.","Park JY,Kim ST,Lee JK,Ham JW,Oh KY",,2020,2020,https://doi.org/10.1145/3387168.3387176;http://dx.doi.org/10.1145/3387168.3387176,automatic inspection drone with deep learning based auto tracking camera gimbal to detect defects in power lines,0
43,Optimization of Neural Network through Genetic Algorithm Searches for the Prediction of International Crude Oil Price Based on Energy Products Prices,"9,78145E+12",,10.1145/2597917.2597956,https://doi.org/10.1145/2597917.2597956;http://dx.doi.org/10.1145/2597917.2597956,Proceedings of the 11th ACM Conference on Computing Frontiers,"This study investigated the prediction of crude oil price based on energy product prices using genetically optimized Neural Network (GANN). It was found from experimental evidence that the international crude oil price can be predicted based on energy product prices. The comparison of the prediction performance accuracy of the propose GANN with Support Vector Machine (SVM), Vector Autoregression (VAR), and Feed Forward NN (FFNN) suggested that the propose GANN was more accurate than the SVM, VAR, and FFNN in the prediction accuracy and time computational complexity. The propose GANN was able to improve the performance accuracy of the comparison algorithms. Our approach can easily be modified for the prediction of similar commodities.","Chiroma H,Gital AY,Abubakar A,Usman MJ,Waziri U",,2014,2014,https://doi.org/10.1145/2597917.2597956;http://dx.doi.org/10.1145/2597917.2597956,optimization of neural network through genetic algorithm searches for the prediction of international crude oil price based on energy products prices,0
46,Traffic Prediction Based Power Saving in Cellular Networks: A Machine Learning Method,"9,78145E+12",,10.1145/3139958.3140053,https://doi.org/10.1145/3139958.3140053;http://dx.doi.org/10.1145/3139958.3140053,Proceedings of the 25th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,"In smart cities, green cellular networks play a crucial role to support wireless access for numerous devices anywhere and anytime with efficiency and sustainability. Because base stations (BSes) consume more than 70% of overall cellular network infrastructure energy, saving the power consumption of BSes is the key task to build a green cellular network. Except for low power design of the BS hardware and software, the traffic-driven BS sleeping operation is an economical way to improve existing cellular networks, which can reduce the BS power consumption at low traffic load. However, prior BS sleeping strategies establish on the static temporal characteristics of traffic load, which ignore the fact that network traffic is influenced by many factors such as time, human mobility, holiday, weather, etc. Hence, prior traffic estimation is coarse, and the BS sleeping strategies cannot apply to the changing network traffic. In this paper, we exploit a machine learning method to estimate the BS traffic and propose a BS sleeping strategy based on predicted traffic for power saving in the cellular network. We analyze network traffic in multi-views: temporal influence, spatial influence, and event influence. Then, we propose a multi-view ensemble learning model to predict network traffic load, which learns the traffic in multi-views and combine the results with ensemble. Furthermore, we formulate a BS sleeping strategy based on the predicted traffic load. Finally, we evaluate our traffic prediction algorithm on real cellular network data. The evaluation shows that our traffic prediction algorithm improves about 40% than state-of-the-art machine learning methods. Also, we evaluate the proposed BS sleeping strategy, which yields about 10% more energy savings and less device damage than the competitors in the simulated environment.","Zhang S,Zhao S,Yuan M,Zeng J,Yao J,Lyu MR,King I",,2017,2017,https://doi.org/10.1145/3139958.3140053;http://dx.doi.org/10.1145/3139958.3140053,traffic prediction based power saving in cellular networks a machine learning method,0
50,MaxTracker: Continuously Tracking the Maximum Computation Progress for Energy Harvesting ReRAM-Based CNN Accelerators,,1539-9087,10.1145/3477009,https://doi.org/10.1145/3477009;http://dx.doi.org/10.1145/3477009,,"There is an ongoing trend to increasingly offload inference tasks, such as CNNs, to edge devices in many IoT scenarios. As energy harvesting is an attractive IoT power source, recent ReRAM-based CNN accelerators have been designed for operation on harvested energy. When addressing the instability problems of harvested energy, prior optimization techniques often assume that the load is fixed, overlooking the close interactions among input power, computational load, and circuit efficiency, or adapt the dynamic load to match the just-in-time incoming power under a simple harvesting architecture with no intermediate energy storage.Targeting a more efficient harvesting architecture equipped with both energy storage and energy delivery modules, this paper is the first effort to target whole system, end-to-end efficiency for an energy harvesting ReRAM-based accelerator. First, we model the relationships among ReRAM load power, DC-DC converter efficiency, and power failure overhead. Then, a maximum computation progress tracking scheme (MaxTracker) is proposed to achieve a joint optimization of the whole system by tuning the load power of the ReRAM-based accelerator. Specifically, MaxTracker accommodates both continuous and intermittent computing schemes and provides dynamic ReRAM load according to harvesting scenarios.We evaluate MaxTracker over four input power scenarios, and the experimental results show average speedups of 38.4%/40.3% (up to 51.3%/84.4%), over a full activation scheme (with energy storage) and order-of-magnitude speedups over the recently proposed (energy storage-less) ResiRCA technique. Furthermore, we also explore MaxTracker in combination with the Capybara reconfigurable capacitor approach to offer more flexible tuners and thus further boost the system performance.","Qiu K,Jao N,Zhou K,Liu Y,Sampson J,Kandemir MT,Narayanan V",ACM Trans. Embed. Comput. Syst.,2021,2021-09,https://doi.org/10.1145/3477009;http://dx.doi.org/10.1145/3477009,maxtracker continuously tracking the maximum computation progress for energy harvesting reram based cnn accelerators,0
63,A Low-Energy Computation Platform for Data-Driven Biomedical Monitoring Algorithms,"9,78145E+12",,10.1145/2024724.2024861,https://doi.org/10.1145/2024724.2024861;http://dx.doi.org/10.1145/2024724.2024861,Proceedings of the 48th Design Automation Conference,"A key challenge in closed-loop chronic biomedical systems is the ability to detect complex physiological states from patient signals within a constrained power budget. Data-driven machine-learning techniques are major enablers for the modeling and interpretation of such states. Their computational energy, however, scales with the complexity of the required models. In this paper, we propose a low-energy, biomedical computation platform optimized through the use of an accelerator for data-driven classification. The accelerator retains selective flexibility through hardware reconfiguration and exploits voltage scaling and parallelism to operate at a sub-threshold minimum-energy point. Using cardiac arrhythmia detection algorithms with patient data from the MIT-BIH database, classification is achieved in 2.96 ?J (at Vdd = 0.4 V), over four orders of magnitude smaller than that on a low-power general-purpose processor. The energy of feature extraction is 148 ?J while retaining flexibility for a range of possible biomarkers.","Shoaib M,Jha N,Verma N",,2011,2011,https://doi.org/10.1145/2024724.2024861;http://dx.doi.org/10.1145/2024724.2024861,a low energy computation platform for data driven biomedical monitoring algorithms,0
66,Accelerated Computation and Tracking of AC Optimal Power Flow Solutions Using GPUs,"9,78145E+12",,10.1145/3547276.3548631,https://doi.org/10.1145/3547276.3548631;http://dx.doi.org/10.1145/3547276.3548631,Workshop Proceedings of the 51st International Conference on Parallel Processing,"We present a scalable solution method based on an alternating direction method of multipliers and graphics processing units (GPUs) for rapidly computing and tracking a solution of alternating current optimal power flow (ACOPF) problem. Such a fast computation is particularly useful for mitigating the negative impact of frequent load and generation fluctuations on the optimal operation of a large electrical grid. To this end, we decompose a given ACOPF problem by grid components, resulting in a large number of small independent nonlinear nonconvex optimization subproblems. The computation time of these subproblems is significantly accelerated by employing the massive parallel computing capability of GPUs. In addition, the warm-start ability of our method leads to faster convergence, making the method particularly suitable for fast tracking of optimal solutions. We demonstrate the performance of our method on a 70,000 bus system by solving associated optimal power flow problems with both cold start and warm start.","Kim Y,Kim K",,2023,2023,https://doi.org/10.1145/3547276.3548631;http://dx.doi.org/10.1145/3547276.3548631,accelerated computation and tracking of ac optimal power flow solutions using gpus,0
83,Battery Lifetime Prediction for Energy-Aware Computing,"9,78158E+12",,10.1145/566408.566449,https://doi.org/10.1145/566408.566449;http://dx.doi.org/10.1145/566408.566449,Proceedings of the 2002 International Symposium on Low Power Electronics and Design,"Predicting the time of full discharge of a finite-capacity energy source, such as a battery, is important for the design of portable electronic systems and applications. In this paper we present a novel analytical model of a battery that not only can be used to predict battery lifetime, but also can serve as a cost function for optimization of the energy usage in battery-powered systems. The model is physically justified, and involves only two parameters, which are easily estimated. The paper includes the results of extensive experimental evaluation of the model with respect to numerical simulations of the electrochemical cell, as well as measurements taken on a real battery. The model was tested using constant, interrupted, periodic and non-periodic discharge profiles, which were derived from standard applications run on a pocket computer.","Rakhmatov D,Vrudhula S,Wallach DA",,2002,2002,https://doi.org/10.1145/566408.566449;http://dx.doi.org/10.1145/566408.566449,battery lifetime prediction for energy aware computing,0
