,original_title,ISBN,ISSN,DOI,URLs,Proceedings title,Abstract,Authors,Journal,Publication year,Date published,URLs,title,keep_title
18,Customization of Virtual Machine Allocation Policy Using K-Means Clustering Algorithm to Minimize Power Consumption in Data Centers,"9,78145E+12",,10.1145/3018896.3018947,https://doi.org/10.1145/3018896.3018947;http://dx.doi.org/10.1145/3018896.3018947,"Proceedings of the Second International Conference on Internet of Things, Data and Cloud Computing","Cloud Computing provides rapid provision of computing resources like processing power, memory, network resources, storage, etc. Running computing resources for longer time, leads energy consumption, increase the emission of Carbon Dioxide (CO2) and increase the expenditure cost for the resources usage. Hence there is a necessity to minimize the execution time to reduce energy consumption in the cloud environment. One of the existing approaches to reducing energy consumption is based on Migration and Placement Policy for Virtual Machine, but still improving placement technique we can further minimize power consumption. In our proposed architecture for cloud resource allocation based on Clustering method, we do map a group of tasks to virtual machines. For clustering, we work on task usage of CPU, memory, and bandwidth. This proposed clustering technique further decreases energy consumption by efficient resource allocation.","Rugwiro U,Chunhua G",,2017,2017,https://doi.org/10.1145/3018896.3018947;http://dx.doi.org/10.1145/3018896.3018947,customization of virtual machine allocation policy using k means clustering algorithm to minimize power consumption in data centers,1
19,Predictive Maintenance Powered by Machine Learning and Simulation,,,,,Proceedings of the Winter Simulation Conference,"To optimize the balance between costs and reliability of cranes, it is important to perform maintenance when the risk of failures becomes high while possibly delaying planned maintenance when the crane shows no signs of possible problems. To accomplish this, we investigate the possibility of applying predictive maintenance for container-handling cranes. The application of predictive maintenance requires historical data collection and preprocessing of equipment sensor and maintenance data. To get a feeling of the possibilities and limitations of predictive maintenance for container-handling cranes, before investing time and money to collect operational data, we have used simulations to generate synthetic data for a few components of the cranes. Using the simulated crane data, a prediction model was trained to predict upcoming component failures. The results show that using simulation we can identify the possibilities and limitations of machine learning for predicting failures of components of the crane.","Burger M,Boer CA,Straub E,Saanen YA",,2023,2023,,predictive maintenance powered by machine learning and simulation,1
20,Perspectives on Predictive Power of Multimodal Deep Learning: Surprises and Future Directions,"9,78197E+12",,10.1145/3107990.3108006,https://doi.org/10.1145/3107990.3108006;http://dx.doi.org/10.1145/3107990.3108006,,,"Bengio S,Deng L,Morency LP,Schuller B",,2018,2018,https://doi.org/10.1145/3107990.3108006;http://dx.doi.org/10.1145/3107990.3108006,perspectives on predictive power of multimodal deep learning surprises and future directions,1
21,Machine Learning GPU Power Measurement on Chameleon Cloud,"9,78145E+12",,10.1145/3147213.3149450,https://doi.org/10.1145/3147213.3149450;http://dx.doi.org/10.1145/3147213.3149450,Proceedings of The10th International Conference on Utility and Cloud Computing,"Machine Learning (ML) is becoming critical for many industrial and scientific endeavors, and has a growing presence in High Performance Computing (HPC) environments. Neural network training requires long execution times for large data sets, and libraries like TensorFlow implement GPU acceleration to reduce the total runtime for each calculation. This tutorial demonstrates how to 1) use Chameleon Cloud to perform comparative studies of ML training performance across different hardware configurations; and 2) run and monitor power utilization of TensorFlow on NVIDIA GPUs.",Chuah JY,,2017,2017,https://doi.org/10.1145/3147213.3149450;http://dx.doi.org/10.1145/3147213.3149450,machine learning gpu power measurement on chameleon cloud,1
24,A Deep Learning Prediction Process Based on Low-Power Heterogeneous Multi Core Architecture,"9,78145E+12",,10.1145/3239576.3239609,https://doi.org/10.1145/3239576.3239609;http://dx.doi.org/10.1145/3239576.3239609,Proceedings of the 2nd International Conference on Advances in Image Processing,"With the rapid development of machine learning both in theory and practice in the past decade. And recently, it is widely used in applications and cloud services. As the emerging field of machine learning, deep learning shows excellent ability in solving complex learning problems. In this paper, we designed a deep learning prediction process based on low-power heterogeneous multi core architecture. Firstly, the fundamental principle of image recognition method based on deep learning reviewed as the basis of the research. Secondly, a set of key algorithm design to parallel access and process image for object detection based on Parallella multi core platform was proposed to improve the detection speed and the computational resource efficiency on single node. Thirdly, Rockchip RK3288 SoC with 4 Arm Cortex-A17 cores hardware platform, Xilinx Zynq and Adapteva Epiphany combined heterogeneous multi core hardware platform was introduced. Some key designs based on Parallella board's architecture to achieve image recognition was proposed to improve the recognition speed and the computational resource efficiency. Finally, The experimental results that based on Parallella board indicate that the proposed image recognition system can achieve nearly 14.8 times speedup than dual-core Arm which was integrated in Parallella board with similar accuracy and achieve 8.6 times speedup than RK3288 board which has the newest series of high-performance Arm core CPU as the control included 4 Arm Cortex-A17 cores.","Li R,Li,Zhang S",,2018,2018,https://doi.org/10.1145/3239576.3239609;http://dx.doi.org/10.1145/3239576.3239609,a deep learning prediction process based on low power heterogeneous multi core architecture,1
25,Learning-Based Power Prediction for Data Centre Operations via Deep Neural Networks,"9,78145E+12",,10.1145/2940679.2940685,https://doi.org/10.1145/2940679.2940685;http://dx.doi.org/10.1145/2940679.2940685,Proceedings of the 5th International Workshop on Energy Efficient Data Centres,"Modelling and analyzing power consumption for data centres can diagnose potential energy-hungry components and applications, and facilitate in-time control, benefiting the energy efficiency of data centers. However, solutions to this problem, including static power models and canonical prediction models, either aim to build a static relationship between power consumption and hardware/application configurations without considering the dynamic fluctuation of power; or simply treat it as time series, ignoring the inherit power data characteristics. To tackle these issues, in this paper, we present a systematic power prediction framework based on extensive power dynamic profiling and deep learning models. In particular, we first analyse different power series samples to illustrate their noise patterns; accordingly we propose a power data de-noising method, which lowers noise interference to the modelling. With the pretreated data, we propose two deep learning based prediction models, including a fine-grained model and a coarse-grained model, which are suitable for different time scales. In the fine-grained prediction model, a recursive autoencoder (AE) is employed for short-duration prediction; in the coarse-grained model, an AE is used to encode massive fine-grained historical data as a further data pretreatment for long-duration prediction. Experimental results show that our proposed models outperform canonical prediction methods with higher accuracy, up to 79% error reduction for certain cases.","Li Y,Hu H,Wen Y,Zhang J",,2016,2016,https://doi.org/10.1145/2940679.2940685;http://dx.doi.org/10.1145/2940679.2940685,learning based power prediction for data centre operations via deep neural networks,1
26,ECO-GNN: Signoff Power Prediction Using Graph Neural Networks with Subgraph Approximation,,1084-4309,10.1145/3569942,https://doi.org/10.1145/3569942;http://dx.doi.org/10.1145/3569942,,"Modern electronic design automation flows depend on both implementation and signoff tools to perform timing-constrained power optimization through Engineering Change Orders (ECOs), which involve gate sizing and threshold-voltage (Vth)-assignment of standard cells. However, the signoff ECO optimization is highly time-consuming, and the power improvement is hard to predict in advance. Ever since the industrial benchmarks released by the ISPD-2012 gate-sizing contest, active research has been conducted extensively to improve the optimization process. Nonetheless, previous works were mostly based on heuristics or analytical methods whose timing models were oversimplified and lacked of formal validations from commercial signoff tools. In this article, we propose ECO-graph neural networks (GNN), a transferable graph-learning-based framework, which harnesses GNNs to perform commercial-quality signoff power optimization through discrete (Vth-assignment. One of the highlights of our framework is that it generates tool-accurate optimization results instantly on unseen netlists that are not utilized in the training process. Furthermore, we propose a subgraph approximation technique to improve training and inferencing time of the proposed GNN model. We show that design instances with non-overlapping subgraphs can be optimized in parallel so as to improve the inference time of the learning-based model. Finally, we implement a GNN-based explanation method to interpret the optimization results achieved by our framework. Experimental results on 14 industrial designs, including a RISC-V-based multi-core system and the renowned ISPD-2012 benchmarks, demonstrate that our framework achieves up to 14× runtime improvement with similar signoff power optimization quality compared with Synopsys PrimeTime, an industry-leading signoff tool.","Lu YC,Nath S,Pentapati S,Lim SK",ACM Trans. Des. Autom. Electron. Syst.,2023,2023-05,https://doi.org/10.1145/3569942;http://dx.doi.org/10.1145/3569942,eco gnn signoff power prediction using graph neural networks with subgraph approximation,1
27,Energy-Demand Estimation of Embedded Devices Using Deep Artificial Neural Networks,"9,78145E+12",,10.1145/3297280.3297338,https://doi.org/10.1145/3297280.3297338;http://dx.doi.org/10.1145/3297280.3297338,Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing,"The need for high performance in embedded devices grows at a breathtaking pace. Embedded processors that satisfy the hunger for superlative processing power share a common issue: the increasing performance leads to growing energy demands during operation. As energy remains a limited resource to embedded devices, it is critical to optimise software components for low power. Low-power software needs energy models which, however, are increasingly difficult to create as to the complexity of today's devices.In this paper we present a black-box approach to construct precise energy models for complex hardware devices. We apply machine-learning techniques in combination with fully automatic energy measurements and evaluate our approach with an ARM Cortex platform. We show that our system estimates the energy demand of program code with a mean percentage error of 1.8% compared to the results of energy measurements.","Hönig T,Herzog B,Schröder-Preikschat W",,2019,2019,https://doi.org/10.1145/3297280.3297338;http://dx.doi.org/10.1145/3297280.3297338,energy demand estimation of embedded devices using deep artificial neural networks,1
28,Uninterruptible Power Supply State of Charge Estimation Based on BP Neural Network,"9,78145E+12",,10.1145/3446999.3447639,https://doi.org/10.1145/3446999.3447639;http://dx.doi.org/10.1145/3446999.3447639,Proceedings of the 2020 8th International Conference on Information Technology: IoT and Smart City,"Objetive: Display console is the software and hardware platform of warship and submarine control system. It's very important to strengthen the performance and improve the life of the Uninterruptible power supply (UPS) in display console . The residual capacity of UPS is a nonlinear function of voltage, discharge current, temperature and other variables. At present, there are some problems such as large measurement error and poor state prediction, what influence the battery power management system's management effectiveness. Therefore, this paper studies the estimation method of battery residual capacity based on BP Algorithm according to the principle of neural network, so as to improve the estimation accuracy of UPS residual capacity. Method: Firstly, we establish the BP neural network model consists of three layers, secondly gather UPS experimental data set, then build, train and test BP network model with LM algorithm by Matlab program language, finally gather the state of charge(SOC) training results. Result: Experimental results indicate that the method in this paper can estimate UPS SOC accurately and efficiently. Conclusion: It can satisfy the system requirements of uninterruptible power supply SOC estimation.",Gong H,,2021,2021,https://doi.org/10.1145/3446999.3447639;http://dx.doi.org/10.1145/3446999.3447639,uninterruptible power supply state of charge estimation based on bp neural network,1
29,Continuous Low-Power Ammonia Monitoring Using Long Short-Term Memory Neural Networks,"9,78145E+12",,10.1145/3274783.3274836,https://doi.org/10.1145/3274783.3274836;http://dx.doi.org/10.1145/3274783.3274836,Proceedings of the 16th ACM Conference on Embedded Networked Sensor Systems,"Accurate and continuous ammonia monitoring is important for laboratory animal studies and many other applications. Existing solutions are often expensive, inaccurate, or unsuitable for long-term monitoring. In this work, we propose a new ammonia monitoring approach that is low-power, automatic, accurate, and wireless.Our system uses metal oxide sensors which change their electrical resistance due to an induced reduction reaction with ammonia at high temperatures. Traditional methods infer the ammonia level by measuring the sensor's electrical resistance after it reaches equilibrium. Such a system consumes a significant amount of energy because reaching equilibrium requires heating the sensor for minutes. Our proposed approach does not wait for equilibrium, but tries to predict the resistance at equilibrium using the sensor's initial resistance response curve in a very short heating pulse (as short as 200ms). The prediction model is built on long short-term memory (LSTM) neural networks.We built 38 prototype sensors and a home-grown gas flow system. In a 3-month in-lab testing period, we conducted extensive experiments and collected 13,770 measurements. Our model accurately predicts the equilibrium state resistance value, with an average error rate of 0.12%. The final average estimation error for the ammonia concentration level is 9.38ppm. Given the ultra low power consumption and accurate measurements, we have partnered with cage vendors and deployed our system at two animal research facilities (NIH and Cornell University) for month-long medical trials.","Jia Z,Lyu X,Zhang W,Martin RP,Howard RE,Zhang Y",,2018,2018,https://doi.org/10.1145/3274783.3274836;http://dx.doi.org/10.1145/3274783.3274836,continuous low power ammonia monitoring using long short term memory neural networks,1
31,Improving BLE Distance Estimation and Classification Using TX Power and Machine Learning: A Comparative Analysis,"9,78145E+12",,10.1145/3127540.3127577,https://doi.org/10.1145/3127540.3127577;http://dx.doi.org/10.1145/3127540.3127577,"Proceedings of the 20th ACM International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems","Distance estimation and proximity classification techniques are essential for numerous IoT applications and in providing efficient services in smart cities. Bluetooth Low Energy (BLE) is designed for IoT devices, and its received signal strength indicator (RSSI) has been used in distance and proximity estimation, though they are noisy and unreliable. In this study, we leverage the BLE TX power level in BLE models.We adopt a comparative analysis framework that utilizes our extensive data library of measurements. It considers commonly used state-of-the-art model, in addition to our data-driven proposed approach. The RSSI and TX power are integrated into several parametric models such as log shadowing and Android Beacon library models, and machine learning models such as linear regression, decision trees, random forests and neural networks. Specific mobile apps are developed for the study experiment. We have collected more than 1.8 millions of BLE records between encounters with various distances that range from 0.5 to 22 meters in an indoor environment. Interestingly, considering TX power when estimating the distance reduced the mean errors by up to 46% in parametric models and by up to 35% in machine learning models. Also, the proximity classification accuracy increased by up to 103% and 70% in parametric and machine learning models, respectively. This work is one of the first studies (if not the first) that analyze in depth the TX power variations in improving the distance estimation and classification.","Al Qathrady M,Helmy A",,2017,2017,https://doi.org/10.1145/3127540.3127577;http://dx.doi.org/10.1145/3127540.3127577,improving ble distance estimation and classification using tx power and machine learning a comparative analysis,1
32,Towards Software-Adaptive Green Computing Based on Server Power Consumption,"9,78145E+12",,10.1145/2593743.2593745,https://doi.org/10.1145/2593743.2593745;http://dx.doi.org/10.1145/2593743.2593745,Proceedings of the 3rd International Workshop on Green and Sustainable Software,"With the proliferation of virtualization and cloud comput- ing, optimizing the power usage effectiveness of enterprise data centers has become a laudable goal and a critical re- quirement in IT operations all over the world. While a sig- nificant body of research exists to measure, monitor, and control the greenness level of hardware components, signif- icant research efforts are needed to relate hardware energy consumption to energy consumption due to program exe- cution. In this paper we report on our investigations to characterize power consumption profiles for different types of compute and memory intensive software applications. In particular, we focus on studying the effects of CPU loads on the power consumption of compute servers by monitoring rack power consumption in a data center. We conducted a series of experiments with a variety of processes of differ- ent complexity to understand and characterize the effect on power consumption. Combining processes of varying com- plexity with varying resource allocations produces different energy consumption levels. The challenge is to optimize pro- cess orchestration based on a power consumption framework to accrue energy savings. Our ultimate goal is to develop smart adaptive green computing techniques, such as adap- tive job scheduling and resource provisioning, to reduce over- all power consumption in data centers or clouds.","Bergen A,Desmarais R,Ganti S,Stege U",,2014,2014,https://doi.org/10.1145/2593743.2593745;http://dx.doi.org/10.1145/2593743.2593745,towards software adaptive green computing based on server power consumption,1
36,A Methodology to Predict the Power Consumption of Servers in Data Centres,"9,78145E+12",,10.1145/2318716.2318718,https://doi.org/10.1145/2318716.2318718;http://dx.doi.org/10.1145/2318716.2318718,Proceedings of the 2nd International Conference on Energy-Efficient Computing and Networking,"Until recently, there have been relatively few studies exploring the power consumption of ICT resources in data centres. In this paper, we propose a methodology to capture the behaviour of most relevant energy-related ICT resources in data centres and present a generic model for them. This is achieved by decomposing the design process into four modelling phases. Furthermore, unlike the state-of-the-art approaches, we provide detailed power consumption models at server and storage levels. We evaluate our model for different types of servers and show that it suffers from an error rate of 2% in the best case, and less than 10% in the worst case.","Basmadjian R,Ali N,Niedermeier F,de Meer H,Giuliani G",,2011,2011,https://doi.org/10.1145/2318716.2318718;http://dx.doi.org/10.1145/2318716.2318718,a methodology to predict the power consumption of servers in data centres,1
37,Predicting Server Power Consumption from Standard Rating Results,"9,78145E+12",,10.1145/3297663.3310298,https://doi.org/10.1145/3297663.3310298;http://dx.doi.org/10.1145/3297663.3310298,Proceedings of the 2019 ACM/SPEC International Conference on Performance Engineering,"Data center providers and server operators try to reduce the power consumption of their servers. Finding an energy efficient server for a specific target application is a first step in this regard. Estimating the power consumption of an application on an unavailable server is difficult, as nameplate power values are generally overestimations. Offline power models are able to predict the consumption accurately, but are usually intended for system design, requiring very specific and detailed knowledge about the system under consideration.In this paper, we introduce an offline power prediction method that uses the results of standard power rating tools. The method predicts the power consumption of a specific application for multiple load levels on a target server that is otherwise unavailable for testing. We evaluate our approach by predicting the power consumption of three applications on different physical servers. Our method is able to achieve an average prediction error of 9.49% for three workloads running on real-world, physical servers.","von Kistowski J,Grohmann J,Schmitt N,Kounev S",,2019,2019,https://doi.org/10.1145/3297663.3310298;http://dx.doi.org/10.1145/3297663.3310298,predicting server power consumption from standard rating results,1
40,Fast Yet Accurate Timing and Power Prediction of Artificial Neural Networks Deployed on Clock-Gated Multi-Core Platforms,,,10.1145/3579170.3579263,https://doi.org/10.1145/3579170.3579263;http://dx.doi.org/10.1145/3579170.3579263,Proceedings of the DroneSE and RAPIDO: System Engineering for Constrained Embedded Systems,"When deploying Artificial Neural Networks (ANNs) onto multi-core embedded platforms, an intensive evaluation flow is necessary to find implementations that optimize resource usage, timing and power. ANNs require indeed significant amounts of computational and memory resources to execute, while embedded execution platforms offer limited resources with strict power budget. Concurrent accesses from processors to shared resources on multi-core platforms can lead to bottlenecks with impact on performance and power. Existing approaches show limitations to deliver fast yet accurate evaluation ahead of ANN deployment on the targeted hardware. In this paper, we present a modeling flow for timing and power prediction in early design stage of fully-connected ANNs on multi-core platforms. Our flow offers fast yet accurate predictions with consideration of shared communication resources and scalability in regards of the number of cores used. The flow is evaluated on real measurements for 42 mappings of 3 fully-connected ANNs executed on a clock-gated multi-core platform featuring two different communication modes: polling or interrupt-based. Our modeling flow predicts timing with accuracy and power with accuracy on the tested mappings for an average simulation time of 0.23 s for 100 iterations. We then illustrate the application of our approach for efficient design space exploration of ANN implementations.","Dariol Q,Le Nours S,Helms D,Stemmer R,Pillement S,Grüttner K",,2023,2023,https://doi.org/10.1145/3579170.3579263;http://dx.doi.org/10.1145/3579170.3579263,fast yet accurate timing and power prediction of artificial neural networks deployed on clock gated multi core platforms,1
