,original_title,result_id,publication_info_summary,link,title,keep_title,count
108,Power Consumption Estimation for Laptops a Machine Learning Approach,pq-Wj26znhgJ,"CP Morlans, RR Buchillon, UK Ammu, P Voravootivat… - mlforsystems.org",https://mlforsystems.org/assets/papers/neurips2022/paper24.pdf,power consumption estimation for laptops a machine learning approach,1,1
109,Energy Consumption Estimation in Machine Learning,XVGM67rqeD0J,"V Veena, AL Bhat - ijaem.net",https://ijaem.net/issue_dcp/Energy%20Consumption%20Estimation%20in%20Machine%20Learning.pdf,energy consumption estimation in machine learning,1,1
112,Energy Consumption Estimation And Management With Machine Learning Regression Techniques,FTZ1J4vTrL8J,"AG TOPRAK, S ŞAHİN, AY MUTLU - researchgate.net",https://www.researchgate.net/profile/Amine-Toprak/publication/363452077_Energy_Consumption_Estimation_And_Management_With_Machine_Learning_Regression_Techniques/links/631c8d8670cc936cd3f9baaf/Energy-Consumption-Estimation-And-Management-With-Machine-Learning-Regression-Techniques.pdf,energy consumption estimation and management with machine learning regression techniques,1,1
113,… BY MEANS OF MACHINE LEARNING ALGORITHMS. PART I–DISCUSSION ON SUITABILITY OF SEVERAL MACHINE LEARNING ALGORITHMS FOR THE …,4SOEQn5nHRkJ,"L Anghelescu, B Diaconu, M Cruceru… - Annals of'Constantin …, 2022 - utgjiu.ro",https://www.utgjiu.ro/rev_ing/pdf/2022-2/05_Anghelescu_CONSTRUCTION%20MATERIALS%202.pdf,by means of machine learning algorithms part i discussion on suitability of several machine learning algorithms for the,1,1
116,Estimation of an Empirical Formula for Efficiency of a Bege Type Detector as a Function of Detector Geometry and Incident Gamma Energy Using Machine Learning …,Dss9ym4bbjsJ,"R Dey, S Chinnaesakki, MR Dhumale, SV Bara… - Available at SSRN … - papers.ssrn.com",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4217657,estimation of an empirical formula for efficiency of a bege type detector as a function of detector geometry and incident gamma energy using machine learning,1,1
117,An Efficient Computer-Aided Design Methodology for FPGA&ASIC High-Level Power Estimation Based on Machine Learning,aTAM1XIONCgJ,Y Nasser - 2019 - theses.fr,https://www.theses.fr/2019ISAR0014,an efficient computer aided design methodology for fpga asic high level power estimation based on machine learning,1,1
121,A Robust Machine Learning Solution for Admittance Matrix Estimation of Electric Power Networks,pmsTq-0r314J,"F Albuquerque, FR Lemes, E Costa… - Available at SSRN … - papers.ssrn.com",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4462870,a robust machine learning solution for admittance matrix estimation of electric power networks,1,1
125,Estimation of Arrival Signal Number Based on Received Power Using Machine Learning,QZN9YyndS-IJ,"T Nosho, K Tategami, T Hasegawa… - IEICE Technical Report; …, 2019 - ken.ieice.org",https://ken.ieice.org/ken/paper/20191017A1RD/eng/,estimation of arrival signal number based on received power using machine learning,1,1
126,Occupancy estimation through Bluetooth classic and low energy packet sniffing applying machine learning,G0mRWHaX1KcJ,T La CARRUBBA - 2019 - politesi.polimi.it,https://www.politesi.polimi.it/handle/10589/147316,occupancy estimation through bluetooth classic and low energy packet sniffing applying machine learning,1,1
129,Estimation of server power consumption using machine learning--In the case of disk intensive workload,taFzHuqFuQoJ,"K Fujita, E Iwasa, M Kaneko - IEICE Technical Report; IEICE Tech. Rep …, 2021 - ken.ieice.org",https://ken.ieice.org/ken/paper/20210415oC31/eng/,estimation of server power consumption using machine learning in the case of disk intensive workload,1,1
130,Using Machine Learning for Real-time Estimation of Energy Balance in Everyday Contexts,RHUOsBWHgbMJ,EM Tapia - 2007 - alumni.media.mit.edu,http://alumni.media.mit.edu/~emunguia/pdf/MunguiaTapiaPh.DThesisProposal.pdf,using machine learning for real time estimation of energy balance in everyday contexts,1,1
134,Energy consumption prediction using machine learning; a review,bGrc73c4ozAJ,"A Mosavi, A Bahmani - 2019 - preprints.org",https://www.preprints.org/manuscript/201903.0131,energy consumption prediction using machine learning a review,1,1
135,Influencing factors evaluation of machine learning-based energy consumption prediction,ycWCQFSrLf0J,"PW Khan, Y Kim, YC Byun, SJ Lee - Energies, 2021 - mdpi.com",https://www.mdpi.com/1996-1073/14/21/7167,influencing factors evaluation of machine learning based energy consumption prediction,1,1
136,Machine learning-based approach to predict energy consumption of renewable and nonrenewable power sources,IrIRxuLxBTEJ,"PW Khan, YC Byun, SJ Lee, DH Kang, JY Kang… - Energies, 2020 - mdpi.com",https://www.mdpi.com/830180,machine learning based approach to predict energy consumption of renewable and nonrenewable power sources,1,1
137,A machine-learning approach to predict main energy consumption under realistic operational conditions,XZCa3WcIHi8J,"JP Petersen, O Winther, DJ Jacobsen - Ship Technology Research, 2012 - Taylor & Francis",https://www.tandfonline.com/doi/abs/10.1179/str.2012.59.1.007,a machine learning approach to predict main energy consumption under realistic operational conditions,1,1
139,Sampling strategy analysis of machine learning models for energy consumption prediction,o1acK00ZnF8J,"Z Wu, W Chu - … 9th International Conference on Smart Energy …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9534987/,sampling strategy analysis of machine learning models for energy consumption prediction,1,1
140,Energy prediction for CNC machining with machine learning,URAMLtKAAvoJ,"M Brillinger, M Wuwer, MA Hadi, F Haas - CIRP Journal of Manufacturing …, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1755581721001310,energy prediction for cnc machining with machine learning,1,1
141,Physics-based machine learning method and the application to energy consumption prediction in tunneling construction,m2DSQqu2XdkJ,"S Zhou, S Liu, Y Kang, J Cai, H Xie, Q Zhang - Advanced Engineering …, 2022 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1474034622001069,physics based machine learning method and the application to energy consumption prediction in tunneling construction,1,1
143,Genetic algorithm based optimized feature engineering and hybrid machine learning for effective energy consumption prediction,yQYNdWA8ayIJ,"PW Khan, YC Byun - IEEE Access, 2020 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9240924/,genetic algorithm based optimized feature engineering and hybrid machine learning for effective energy consumption prediction,1,1
144,Forecasting power consumption for higher educational institutions based on machine learning,OhNVyo5WvtsJ,"J Moon, J Park, E Hwang, S Jun - The Journal of Supercomputing, 2018 - Springer",https://link.springer.com/article/10.1007/s11227-017-2022-x,forecasting power consumption for higher educational institutions based on machine learning,1,1
146,Prediction of energy consumption and evaluation of affecting factors in a full-scale WWTP using a machine learning approach,nuXkOUzlfB4J,"F Bagherzadeh, AS Nouri, MJ Mehrani… - Process Safety and …, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0957582021004663,prediction of energy consumption and evaluation of affecting factors in a full scale wwtp using a machine learning approach,1,1
151,ARIIMA: a real IoT implementation of a machine-learning architecture for reducing energy consumption,Sc3yQrvuLvwJ,"D Ventura, D Casado-Mansilla… - … Computing and Ambient …, 2014 - Springer",https://link.springer.com/chapter/10.1007/978-3-319-13102-3_72,ariima a real iot implementation of a machine learning architecture for reducing energy consumption,1,1
153,Power consumption prediction in cloud data center using machine learning,t8HK33YWcLcJ,"T Deepika, P Prakash - Int. J. Electr …, 2020 - download.garuda.kemdikbud.go.id",http://download.garuda.kemdikbud.go.id/article.php?article=1305578&val=146&title=Power%20consumption%20prediction%20in%20cloud%20data%20center%20using%20machine%20learning,power consumption prediction in cloud data center using machine learning,1,1
155,Prediction of melt pool temperature in directed energy deposition using machine learning,6ppBL5R5AU4J,"Z Zhang, Z Liu, D Wu - Additive Manufacturing, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S2214860420310642,prediction of melt pool temperature in directed energy deposition using machine learning,1,1
156,Deep learning versus traditional machine learning methods for aggregated energy demand prediction,td0O2jhdMGEJ,"NG Paterakis, E Mocanu, M Gibescu… - 2017 IEEE PES …, 2017 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8260289/,deep learning versus traditional machine learning methods for aggregated energy demand prediction,1,1
158,Prediction of electrical energy consumption based on machine learning technique,s4i3Sb8CyqMJ,"R Banik, P Das, S Ray, A Biswas - Electrical Engineering, 2021 - Springer",https://link.springer.com/article/10.1007/s00202-020-01126-z,prediction of electrical energy consumption based on machine learning technique,1,1
159,What can android mobile app developers do about the energy consumption of machine learning?,CFbzsvAhdCoJ,"A McIntosh, S Hassan, A Hindle - Empirical Software Engineering, 2019 - Springer",https://link.springer.com/article/10.1007/s10664-018-9629-2,what can android mobile app developers do about the energy consumption of machine learning,1,1
161,Renewable power source energy consumption by hybrid machine learning model,xOi37X1cAwQJ,"RM Abd El-Aziz - Alexandria Engineering Journal, 2022 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1110016822001867,renewable power source energy consumption by hybrid machine learning model,1,1
165,Short-term energy prediction for district-level load management using machine learning based approaches,lGTBSCf47M8J,"T Ahmad, H Chen, Y Huang - Energy Procedia, 2019 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1876610219310197,short term energy prediction for district level load management using machine learning based approaches,1,1
169,Machine learning for shaft power prediction and analysis of fouling related performance deterioration,HVR9y8AMGpUJ,"A Laurie, E Anderlini, J Dietz, G Thomas - Ocean Engineering, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0029801821003218,machine learning for shaft power prediction and analysis of fouling related performance deterioration,1,1
171,Energy consumption prediction of appliances using machine learning and multi-objective binary grey wolf optimization for feature selection,iV3MBhD6tIYJ,"D Moldovan, A Slowik - Applied Soft Computing, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1568494621006669,energy consumption prediction of appliances using machine learning and multi objective binary grey wolf optimization for feature selection,1,1
173,Machine learning prediction of activation energy in cubic Li-argyrodites with hierarchically encoding crystal structure-based (HECS) descriptors,nNFsjvMR4CIJ,"Q Zhao, M Avdeev, L Chen, S Shi - Science Bulletin, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S209592732100308X,machine learning prediction of activation energy in cubic li argyrodites with hierarchically encoding crystal structure based hecs descriptors,1,1
174,Prediction of electrical power disturbances using machine learning techniques,nUzSOX3Uf60J,"S Omran, EMF El Houby - Journal of Ambient Intelligence and Humanized …, 2020 - Springer",https://link.springer.com/article/10.1007/s12652-019-01440-w,prediction of electrical power disturbances using machine learning techniques,1,1
176,Phillips-inspired machine learning for band gap and exciton binding energy prediction,vwx0q7JctA8J,"J Liang, X Zhu - The journal of physical chemistry letters, 2019 - ACS Publications",https://pubs.acs.org/doi/abs/10.1021/acs.jpclett.9b02232,phillips inspired machine learning for band gap and exciton binding energy prediction,1,1
181,Machine learning and scaling laws for prediction of accurate adsorption energy,Ep7cUblKU0wJ,"S Nayak, S Bhattacharjee, JH Choi… - The Journal of Physical …, 2019 - ACS Publications",https://pubs.acs.org/doi/abs/10.1021/acs.jpca.9b07569,machine learning and scaling laws for prediction of accurate adsorption energy,1,1
182,A hybrid approach to integrate machine learning and process mechanics for the prediction of specific cutting energy,yhDhMWMJ0C0J,"Z Liu, Y Guo - CIRP Annals, 2018 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0007850618300155,a hybrid approach to integrate machine learning and process mechanics for the prediction of specific cutting energy,1,1
184,Embedding individualized machine learning prediction models for energy efficient VM consolidation within Cloud data centers,e6hNO6xVGJcJ,"SM Moghaddam, M O'Sullivan, C Walker… - Future Generation …, 2020 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0167739X19308969,embedding individualized machine learning prediction models for energy efficient vm consolidation within cloud data centers,1,1
185,Stacking Deep learning and Machine learning models for short-term energy consumption forecasting,R-WlDL-BYcgJ,"S Reddy, S Akashdeep, R Harshvardhan… - Advanced Engineering …, 2022 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1474034622000180,stacking deep learning and machine learning models for short term energy consumption forecasting,1,1
188,Machine learning models for forecasting power electricity consumption using a high dimensional dataset,qEI3_0UqDgQJ,"PC Albuquerque, DO Cajueiro, MDC Rossi - Expert Systems with …, 2022 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0957417421012720,machine learning models for forecasting power electricity consumption using a high dimensional dataset,1,1
196,Machine learning-based approaches for energy-efficiency prediction and scheduling in composite cores architectures,ZrZFZMAjuioJ,"H Sayadi, N Patel, A Sasan… - 2017 IEEE international …, 2017 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8119201/,machine learning based approaches for energy efficiency prediction and scheduling in composite cores architectures,1,1
203,Improving Prediction Accuracy of Machine Learning Energy Prediction Models,sF7GsTsWpnYJ,"MM Singh, S Singaravel, P Geyer - Proceedings of the 36th CIB W, 2019 - itc.scix.net",https://itc.scix.net/pdfs/w78-2019-paper-011.pdf,improving prediction accuracy of machine learning energy prediction models,1,1
204,Machine Learning algorithms for prediction of energy consumption and IoT modeling in complex networks,LqXjM0y0cHsJ,"RH Fard, S Hosseini - Microprocessors and Microsystems, 2022 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0141933121005640,machine learning algorithms for prediction of energy consumption and iot modeling in complex networks,1,1
215,Machine learning based uplink transmission power prediction for LTE and upcoming 5G networks using passive downlink indicators,2_4GqcJKPCgJ,"R Falkenberg, B Sliwa, N Piatkowski… - 2018 IEEE 88th …, 2018 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8690629/,machine learning based uplink transmission power prediction for lte and upcoming g networks using passive downlink indicators,1,1
218,"Machine learning models for the prediction of energy, forces, and stresses for Platinum",ZxZikoEEPQMJ,"J Chapman, R Batra, R Ramprasad - Computational Materials Science, 2020 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0927025619307827,machine learning models for the prediction of energy forces and stresses for platinum,1,1
222,Energy prediction under changed demand conditions: Robust machine learning models and input feature combinations,7r8Rm4u5iTcJ,"T Schranz, J Exenberger, CM Legaard… - … Conference of the …, 2021 - graz.pure.elsevier.com",https://graz.pure.elsevier.com/en/publications/energy-prediction-under-changed-demand-conditions-robust-machine-,energy prediction under changed demand conditions robust machine learning models and input feature combinations,1,2
224,Interpretable machine learning—tools to interpret the predictions of a machine learning model predicting the electrical energy consumption of an electric arc furnace,UxgXCpuehYQJ,"LS Carlsson, PB Samuelsson… - Steel research …, 2020 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/srin.202000053,interpretable machine learning tools to interpret the predictions of a machine learning model predicting the electrical energy consumption of an electric arc furnace,1,1
233,Energy Consumption Prediction for Fused Deposition Modelling 3D Printing Using Machine Learning,gWLD3ispOZIJ,"MA El youbi El idrissi, L Laaouina, A Jeghal… - Applied System …, 2022 - mdpi.com",https://www.mdpi.com/2571-5577/5/4/86,energy consumption prediction for fused deposition modelling d printing using machine learning,1,1
244,Power equipment defects prediction based on the joint solution of classification and regression problems using machine learning methods,j-qmWTMfLJwJ,"I Shcherbatov, E Lisin, A Rogalev, G Tsurikov… - Electronics, 2021 - mdpi.com",https://www.mdpi.com/1409500,power equipment defects prediction based on the joint solution of classification and regression problems using machine learning methods,1,1
250,Energy landscapes for a machine-learning prediction of patient discharge,Zsd43EI6XE8J,"R Das, DJ Wales - Physical Review E, 2016 - APS",https://journals.aps.org/pre/abstract/10.1103/PhysRevE.93.063310,energy landscapes for a machine learning prediction of patient discharge,1,1
253,Analysis of Electric Energy Consumption Profiles Using a Machine Learning Approach: A Paraguayan Case Study,iu7T4-7UbYwJ,"F Morales, M García-Torres, G Velázquez… - Electronics, 2022 - mdpi.com",https://www.mdpi.com/1449852,analysis of electric energy consumption profiles using a machine learning approach a paraguayan case study,1,1
261,Research on energy consumption prediction based on machine learning,FuN9lM_irlsJ,"R Liu, Z Wang, H Chen, J Yang - IOP Conference Series: Earth …, 2021 - iopscience.iop.org",https://iopscience.iop.org/article/10.1088/1755-1315/791/1/012100/meta,research on energy consumption prediction based on machine learning,1,1
262,Machine Learning and Analytical Power Consumption Models for 5G Base Stations,mOWudXBzpBAJ,"N Piovesan, D López-Pérez… - IEEE …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/document/9928089/,machine learning and analytical power consumption models for g base stations,1,1
263,A data-driven energy performance gap prediction model using machine learning,drM_gflz12wJ,"D Yılmaz, AM Tanyer, ID Toker - Renewable and Sustainable Energy …, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1364032123001740,a data driven energy performance gap prediction model using machine learning,1,1
