,original_title,ISBNs,DOI,Publication Title,PDF Link,Abstract,Authors,Author Keywords,Publication Year,title,keep_title
21,Modeling and Estimation for the Power Consumption of Matrix Computation on Multi-core Platform,978-0-7695-3605-7,10.1109/CSO.2009.451,2009 International Joint Conference on Computational Sciences and Optimization,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5193639,We model and estimate the power consumption of large-scale matrix multiplication by including the most basic power parameters in the parallel algorithm analysis. The matrix multiplication program has been designed based on multi-core frameworks. A Bridging Model (BM) is employed to incorporate the numerical parameters of ultimate physical constraints from power-relevant components and coarse-grained features of the multi-core platform. Consequently the power consumption is predicted by calculating the timing and power factors in the performance analysis equation. The power model and estimation results are validated by measuring the program running on real systems.,D. Q. Ren; R. Suda,,2009,modeling and estimation for the power consumption of matrix computation on multi core platform,1
22,Power consumption estimation using in-memory database computation,978-1-5090-3784-1,10.1109/HONET.2016.7753443,2016 HONET-ICT,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7753443,"In order to efficiently predict electricity consumption, we need to improve both the speed and the reliability of computational environment. Concerning the speed, we use in-memory database, which is taught to be the best solution that allows manipulating data many times faster than the hard disk.",H. Dağ; M. Alamin,In-Memory Database;Machine Learning;Power Consumption,2016,power consumption estimation using in memory database computation,1
23,Toward using software metrics as indicator to measure power consumption of mobile application: A case study,978-1-4673-8227-4,10.1109/MySEC.2015.7475216,2015 9th Malaysian Software Engineering Conference (MySEC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7475216,"Battery capacity of mobile devices is a critical issue for developing green mobile applications. Therefore, energy efficiency has become a major concern nowadays for energyrestricted embedded system such as smartphones and tablets. In industry, it is a challenge for them to develop an energy efficient product while meeting customer expectation. In previous study, there is lack of method that uses software metrics to measure power consumption of mobile applications. In this paper we have identified several software metrics that can be used as indicator to measure mobile application power consumption. The objective of this study is to which identify software metrics is suitable act as indicators to measure power consumption of mobile applications. This can help mobile software designer to measure power used for their mobile applications in the early design phase. In order to prove this concept, we randomly select two open source mobile applications as our case study. The power used of a mobile application is collected by using Trepn Profiler (Power profiling tool for Qualcomm processor CPU). We capture the actual power consumption and estimated power consumption (without calculate Android OS and profiling tool power) with the profiler. There are overall 18 available metrics based on Object-Oriented Metrics. We map the 18 metrics with the power consumption captured by Trepn Profiler. The results shown that McCabe cyclomatic complexity, number of parameters, nested block depth, weighted methods per class, number of overridden method, number of methods, total lines of code and method lines have significant relationship with power consumption of mobile application. Therefore, these eight metrics can be used as the indicator to measure mobile applications' power consumption.",C. Kin Keong; K. Tieng Wei; A. A. Abd. Ghani; K. Y. Sharif,Android Mobile Application;Power Consumption;Metric;Power Measurement,2015,toward using software metrics as indicator to measure power consumption of mobile application a case study,1
25,Energy Consumption Prediction System Based on Deep Learning with Edge Computing,978-1-7281-1618-1,10.1109/ELTECH.2019.8839589,2019 IEEE 2nd International Conference on Electronics Technology (ICET),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8839589,"Governments around the world are actively pursuing research on smart cities as an attempt to pursue the city's sophistication and sustainability. In order to create a smart city, it is important to reduce energy and manage it efficiently. With the development of smart city, it is expected that a large number of Internet of Things (IoT) devices will be installed in various buildings in the city, and a lot of energy usage information will be measured. When many IoT devices are connected to the internet, a large amount of data is generated. Therefore, when the existing cloud service is used, data is delayed in analyzing and transmitting data, and it becomes impossible to receive the analysis result quickly. With edge computing, you can process data directly in the edge environment where data is collected and apply the results quickly to the field. It can respond to data much faster than it can deliver data and wait for the results to be analyzed and reduce the load on the data. Therefore, in this paper, we propose a system for predicting energy consumption using a deep learning (DL) algorithm in an edge computing environment. We have applied the proposed system to office environment by building testbed. We used the long short-term memory (LSTM) network which shows high accuracy in time series data analysis and obtained the energy prediction result per day. We check the state of the electronics through the energy consumption prediction data, detect the abnormality and provide the energy consumption pattern analysis service respectively.",S. H. Lee; T. Lee; S. Kim; S. Park,energy;IoT;deep learning;edge computing,2019,energy consumption prediction system based on deep learning with edge computing,1
26,Implementation of an Energy Saving Cloud Infrastructure with Virtual Machine Power Usage Monitoring and Live Migration on OpenStack,978-1-5090-4457-3,10.1109/ICPADS.2016.0101,2016 IEEE 22nd International Conference on Parallel and Distributed Systems (ICPADS),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7823816,"This work implement a cloud infrastructure that can monitor the status of OpenStack and monitor the real-time status of virtual machine on OpenStack then achieve to energy saving through live migration. The projects of monitoring include the utilization of CPU, load of memory, and power consumption. These data show in real-time, completely monitor the real-time status of physical machines and virtual machines. It also record the utilization and power consumption of physical machines then show on this cloud infrastructure, to provide experimental evidence for the user as a reference. Base on the power consumption we monitoring, we can automatically allocate virtual machines on every physical machines by live migration, to balance the power consumption of every physical machines. Its not only can avoid idle and waste of resources but also can avoid reducing machine life because of the physical machines always keep in high usage, and achieve to power saving.",T. -Y. Wan; C. -I. Chiang; C. -T. Yang; S. -T. Chen; J. -C. Liu,Real-Time Monitoring;Power Saving;Machine;Monitoring;Live Migration;Dynamic Allocation;Cloudfrastructure,2016,implementation of an energy saving cloud infrastructure with virtual machine power usage monitoring and live migration on openstack,1
27,Combined method for monitoring energy consumption of an electric drive of a rocking machine based on an artificial neural network,978-1-7281-9116-4,10.1109/ICOECS50468.2020.9278506,2020 International Conference on Electrotechnical Complexes and Systems (ICOECS),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9278506,The article discusses the development of a combined method for controlling the energy consumption of an electric drive (ED) of a rocking machine (RM) of a sucker rod pump unit (SRPU) based on an artificial neural network.,A. O. Timofeev; V. K. Yasoveev,electric drive;rocking machine;sucker rod pumping unit;artificial neural network,2020,combined method for monitoring energy consumption of an electric drive of a rocking machine based on an artificial neural network,1
28,Cloud computing and continuous energy consumption monitoring,978-1-5386-0774-9,10.1109/ICE.2017.8279878,"2017 International Conference on Engineering, Technology and Innovation (ICE/ITMC)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8279878,"Measurement of electrical energy consumption has evolved continuously from autonomous measuring devices to continuous measurement networks. The digital era allowed digital networks to be used for continuous and remote measurements. Building of digital measurement networks or sensor networks can be based on different topologies and communication technologies. The Internet of Things and Cloud Computing associated with Deep Learning opens up new opportunities. Increased computing power, lower energy consumption, extended integration into systems on a chip and lower costs becomes a new foundation for expanding and improving sensor networks. This paper presents the impact on the accuracy of measurements using sensor networks with cloud computing technologies from the perspective of continuous running over a period of more than three years.",V. Lupu,sensor network;Internet of things;cloud computing;continuous monitoring;energy consumption,2017,cloud computing and continuous energy consumption monitoring,1
30,Design and implementation of a new power consumption monitoring and analysis system based on intelligent neural network,978-1-6654-6766-7,10.1109/ICCASIT55263.2022.9986683,2022 IEEE 4th International Conference on Civil Aviation Safety and Information Technology (ICCASIT),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9986683,"This paper focuses on the overall design and implementation of the monitoring and analysis system. The evaluation of interference load, the design of Switching virtual circuit compensation capacity and the design of filter is discussed in detail. This system gives full play to the superiority of extra segment over qualitative analysis. The reasoning path is clear. The advantages are ease of interpretation and user engagement. The data processing and self-learning ability of the original power quality monitoring system are improved. The steady state power quality and transient power quality in power system are monitored accurately. Provides a variety of statistical reports. Provide comprehensive, detailed and real-time power quality information. It provides the basis for power quality management.",G. Hongbo; Z. Wen; Y. Bao; C. Yan; G. Shijie; F. Shangying; S. Han; O. Hong; W. Quan; L. Junling,power quality;Online monitoring;system design,2022,design and implementation of a new power consumption monitoring and analysis system based on intelligent neural network,1
31,Remote Monitoring Systems of Unsafe Software Execution using QR Code-based Power Consumption Profile for IoT Edge Devices,978-1-7281-9161-4,10.1109/ICEIC51217.2021.9369725,"2021 International Conference on Electronics, Information, and Communication (ICEIC)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9369725,"If an error occurs in a system where several edges are gathered and operated together, the error may be transferred to other edges or the entire system may be down. Therefore, it is important to judge and control the errors of each edge in such a system, which puts a load on the embedded system of small edges. However, it is not easy to judge an error in an embedded system with limitations of performance. In such a system, we try to determine the state of the edge device using power consumption data and determine the error based on it. In this paper, we show that the server can determine errors using the power consumption data, and the data consumption allows the server to read data values through data communication using QR codes. In this architecture, the edge device only transmits power consumption data to reduce the load on the embedded system, and the gateway and server collect the data using QR codes communication. At the same time, the server interprets the received data to determine errors using various algorithms and controls the edge device. In this process, it is important to synchronize the edge device with the gateway and the server. Since the proposed structure uses a separate power meter and communication device, it solves the problem of not sending an appropriate message to the server when a communication error occurs at the previous edge. Also, the proposed model solves the overload problem that occurs when networks are used in various IoT devices using QR code that imaged data and light communication using a camera. After data is extracted and sorted from the QR code obtained by recognizing the camera of the intermediate server, the main server performs error determination through data analysis. The proposed architecture was implemented using `chip-whisperer' to measure edges and data, as well as `raspberry pi' to implement the server. As a result, the proposed architecture server showed successful data transmission and error determination, and it also showed very little additional load at the edge.",M. Kang; D. Park,Robust Execution;Embedded system;Error detection;QRcode;Data transmission,2021,remote monitoring systems of unsafe software execution using qr code based power consumption profile for iot edge devices,1
32,Power Consumption Interval Prediction Based on Quantile Regression Neural Network and Kernel Density Estimation,978-1-5386-8527-3,10.1109/ISCID.2018.10169,2018 11th International Symposium on Computational Intelligence and Design (ISCID),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8695577,"Power forecasting is the basis for grid peaking, gird construction planning, and power demand management. Large users are generally special users who have large power consumption. The sampling frequency of the power data is collected once in 15 minutes. The traditional point prediction model take no account into the factors affecting electricity, while interval prediction provides more comprehensive and effective information. Based on the historical electricity data, the quantile regression neural network model (qrnn) and kernel density estimation method are used for power interval prediction. Using the quantile regression to study the relationship between the independent variable and the conditional quantile of the dependent variable, the quantile regression neural network is used to obtain the predicted values of the different quantile points at the same time point. The kernel density estimation method can be based on different points to construct power forecast interval. The interval prediction result at the future time point can be compared with true power consumption whether the power consumption of the large user is abnormal and analyze the future power consumption trend of the large user, and provide decision support for the stable operation of the power grid.",H. Lv; G. Chen; M. Deng; Z. Tan; W. Hu,Interval prediction;Quantile regression neural network;Kernel density estimation,2018,power consumption interval prediction based on quantile regression neural network and kernel density estimation,1
38,Evaluating the Performance and Energy Efficiency of OpenGL and Vulkan on a Graphics Rendering Server,978-1-5386-9223-3,10.1109/ICCNC.2019.8685588,"2019 International Conference on Computing, Networking and Communications (ICNC)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8685588,"Open Graphics Library (OpenGL) has been the de facto industry standard of 2D and 3D graphics rendering for decades. As OpenGL continued to evolve, it becomes easier to use and more powerful by accommodating heterogeneous hardware and hiding optimization details from developers. As a side effect, its overhead gradually increases and its performance becomes unpredictable. To address the weaknesses of OpenGL, Vulkan was proposed as a thin graphics API to reduce the overhead and allow developers to gain grainer control over rendering process. This paper conducts a comprehensive evaluation on the performance and energy efficiency of OpenGL and Vulkan on a graphics rendering server. Our experimental results show that 1) OpenGL’s performance is unpredictable; 2) Vulkan can save significant amount of energy while maintaining the same performance; and 3) OpenGL cannot keep up with Vulkan’s performance when an extremely high frame rate is required.",M. Lujan; M. Baum; D. Chen; Z. Zong,performance;energy efficiency;OpenGL;Vulkan,2019,evaluating the performance and energy efficiency of opengl and vulkan on a graphics rendering server,1
40,An Automated Software Package Creation for Energy Consumption Accounting,978-1-6654-6652-3,10.1109/UralCon54942.2022.9906691,2022 International Ural Conference on Electrical Power Engineering (UralCon),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9906691,"Modern world market relations put forward rigorous requirements for conditions of information exchange and implementation of automated systems for commercial accounting and sale of thermal and electric energy. Data collection of the amount of energy consumed is often carried out through manual entry of information, that does not exclude probable errors. Besides, errors may occur when data are integrated into internal and external information systems. A software package for household energy consumption metering was worked out. Its architecture is built on a centralized principle; interaction with users is carried out through a web interface. The developed metering software package provides control over the performance, operation mode of main networks and central heating units. It consists of 12 functional blocks; the paper covers the purpose of each of them. The automated software package is designed to obtain thermal energy consumption data, their following processing by means of automatic analysis and automated transfer to the customer billing system.",Y. Zatsarinnaya; G. Kovalev; R. Gainullin,software package;electricity market;modernization;accounting;quality;information technology;energy;warmth,2022,an automated software package creation for energy consumption accounting,1
43,Efficient Computation Offloading with Energy Consumption Constraint for Multi-Cloud System,978-1-6654-8180-9,10.1109/ICACTE55855.2022.9943608,2022 15th International Conference on Advanced Computer Theory and Engineering (ICACTE),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9943608,"With the increasing functionalities of mobile terminals, computation offloading has become a good way to alleviate the limitation of terminal computing resource and improve terminal performance. In this paper, we propose an efficient computation offloading strategy for multi-cloud system to minimize makespan with terminal energy consumption constraint. The proposed strategy first sorts tasks and establishes paths. Then tasks on each established path are counted as an integrated task and assigned to a worker node with less completion time iteratively. After the initial task assignment, performance optimization is performed to satisfy energy consumption constraint and further decrease makespan. Experimental results show that the proposed approach has better performance compared to genetic algorithm and greedy algorithm.",X. Ge; Q. Zhang,multi-cloud system;computation offloading;task scheduling;makespan;energy consumption,2022,efficient computation offloading with energy consumption constraint for multi cloud system,1
44,Power Consumption and Computation Models of Virtual Machines to Perform Computation Type Application Processes,978-1-4799-8870-9,10.1109/CISIS.2015.18,"2015 Ninth International Conference on Complex, Intelligent, and Software Intensive Systems",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7185176,"Scalable and fault-tolerant information systems like cloud systems are realized in server cluster systems. Server cluster systems are equipped with virtual machines to provide applications with scalable and fault-tolerant services. Scalable and fault-tolerant application services can be provided by balancing processing load among virtual machines to perform application processes. On the other hand, a large amount of electric energy is consumed in a server cluster system since multiple virtual machines are performed on multiple servers which consume electric energy to perform application processes. In order to design and implement an energy-aware server cluster system, the computation model and power consumption model of a server to perform application processes on multiple virtual machines have to be defined. In this paper, we first define the computation model of a virtual machine to perform application processes. We also define the power consumption model of a server to perform application processes on virtual machines.",T. Enokido; M. Takizawa,Virtual machines;Migration;Energy-aware systems;Power consumption models;Green IT,2015,power consumption and computation models of virtual machines to perform computation type application processes,1
45,Prediction Based Energy Efficient Virtual Machine Consolidation in Cloud Computing,978-1-4799-1734-1,10.1109/ICACCE.2015.148,2015 Second International Conference on Advances in Computing and Communication Engineering,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7306726,"Cloud computing enables the web hosting of computing resources, applications to be available for consumers on a pay-per-use basis. This has made cloud computing quite popular and the need of today's world. With this, the demand for computational power has increased and this has led to the creation of large-scale cloud data centres. These data centresresult in large electrical power consumption and thus the cost of operation and maintenance, which has become a major issue in the cloud. Therefore we need to find out solutions to minimize this power consumption and thus operating cost. In this paper, a prediction based faster energy efficient virtual machine (VM) consolidation scheme is proposed which results in faster VM consolidation to improve Quality of Service (QoS) and performance while reducing energy consumption.",N. K. Gondhi; P. Kailu,Energy efficiency;Cloud computing;Infrastructure as a Service;Resource management;Virtualization;Heuristics;Consolidation of virtual machines;QoS,2015,prediction based energy efficient virtual machine consolidation in cloud computing,1
46,A method to estimate the energy consumption of deep neural networks,978-1-5386-1823-3,10.1109/ACSSC.2017.8335698,"2017 51st Asilomar Conference on Signals, Systems, and Computers",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8335698,"Deep Neural Networks (DNNs) have enabled state-of-the-art accuracy on many challenging artificial intelligence tasks. While most of the computation currently resides in the cloud, it is desirable to embed DNN processing locally near the sensor due to privacy, security, and latency concerns or limitations in communication bandwidth. Accordingly, there has been increasing interest in the research community to design energy-efficient DNNs. However, estimating energy consumption from the DNN model is much more difficult than other metrics such as storage cost (model size) and throughput (number of operations). This is due to the fact that a significant portion of the energy is consumed by data movement, which is difficult to extract directly from the DNN model. This work proposes an energy estimation methodology that can estimate the energy consumption of a DNN based on its architecture, sparsity, and bitwidth. This methodology can be used to evaluate the various DNN architectures and energy-efficient techniques that are currently being proposed in the field and guide the design of energy-efficient DNNs. We have released an online version of the energy estimation tool at energyestimation.mit.edu. We believe that this method will play a critical role in bridging the gap between algorithm and hardware design and provide useful insights for the development of energy-efficient DNNs.",T. -J. Yang; Y. -H. Chen; J. Emer; V. Sze,Deep learning;deep neural network;energy estimation;energy metric;machine learning,2017,a method to estimate the energy consumption of deep neural networks,1
