"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Neural network methods for fast and portable prediction of CPU power consumption","M. Gutierrez; S. Rahman; D. Tamir; A. Qasem","Texas State University San Marcos, TX; Texas State University San Marcos, TX; Texas State University San Marcos, TX; Texas State University San Marcos, TX","2015 Sixth International Green and Sustainable Computing Conference (IGSC)","28 Jan 2016","2015","","","1","4","The need for energy efficient computing has established performance-per-watt as a first-class metric for evaluating HPC applications. Consequently, optimizations that target HPC systems and data centers are required to dynamically monitor system power consumption in order to be effective. Although newer architectures are making power sensors available on the chip, the general state of power measurement tools across different architectures remains deficient. This paper describes a neural-network based model for fine-grain, accurate and low-cost power estimation. The main novelty of the proposed approach is its portability. The methodology can be adopted to predict power consumption not only on a range of current processors but future architectures as well. This portability is achieved by taking advantage of performance monitoring units (PMU) available on current systems and applying a carefully constructed sequence of feature selection techniques. We evaluate our models along several dimensions on multiple platforms. The experimental results show that the constructed models are able to predict power consumption with high accuracy at a low overhead. The results also provide key insight as to the number of features necessary to achieve reasonable prediction accuracy.","","978-1-5090-0172-9","10.1109/IGCC.2015.7393702","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7393702","","Lead","feature selection;neural nets;parallel processing;power aware computing","neural network methods;CPU power consumption;energy efficient computing;HPC systems;performance monitoring units;PMU;feature selection techniques","","","","10","IEEE","28 Jan 2016","","","IEEE","IEEE Conferences"
"Neural network prediction methods of power consumption for GSHP system with bilateral variable flow","L. Hui; D. Peiyong; W. Lin; Y. Yu","Ministry of Education, Key Laboratory of Renewable Energy Utilization Technologies in Buildings, Jinan, China; Shandong Normal University, Jinan, China; Ministry of Education, Key Laboratory of Renewable Energy Utilization Technologies in Buildings, Jinan, China; Ministry of Education, Key Laboratory of Renewable Energy Utilization Technologies in Buildings, Jinan, China","2017 36th Chinese Control Conference (CCC)","11 Sep 2017","2017","","","2023","2026","In order to realize the optimal control of variable frequency circulating pumps for ground source heat pump (GSHP) system it is necessary to build the prediction model of the total power consumption of GSHP system based on running data. Firstly the power consumption analysis of GSHP system with bilateral variable flow is presented. Then a Hyberball Cerebellar Model Articulation Controller (HCMAC) prediction model of power consumption for GSHP system is established. The inputs of model include circulating pump frequency at user-side circulating pump frequency at ground-source side and current air conditioning load. Finally according to the characteristics of the learning data of the GSHP system a differential parallel HCMAC learning method is proposed to improve the learning accuracy. The simulation experiments are performed according to the learning data provided by TRNSYS simulation platform. The experimental results show that the accuracy of differential parallel CMAC prediction model is better than that of the general HCMAC prediction model.","1934-1768","978-988-15639-3-4","10.23919/ChiCC.2017.8027651","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8027651","GSHP;variable frequency;HCMAC neural network;prediction model;power consumption","Power demand;Predictive models;Load modeling;Neural networks;Data models;Atmospheric modeling;Learning systems","cerebellar model arithmetic computers;flow control;ground source heat pumps;learning (artificial intelligence);neurocontrollers;optimal control;power consumption;prediction theory","neural network prediction methods;power consumption;ground source heat pump system;GSHP system;bilateral variable flow;optimal control;variable frequency circulating pumps;hyberball cerebellar model articulation controller;HCMAC prediction model;differential parallel HCMAC learning method","","","","11","","11 Sep 2017","","","IEEE","IEEE Conferences"
"Machine learning for energy efficiency: Automatic detection of electric loads from power consumption","C. Tomazzoli; S. Scannapieco","Parco Scientifico e Tecnologico di Verona, Verona, Italy; R&D Department, Real T s.r.1, Verona, Italy","2017 AEIT International Annual Conference","28 Dec 2017","2017","","","1","6","This work deals with the problem of energy efficiency and saving: we present a method to automatically extract behavioral rules from consumption data, so that these rules can be applied or fed to an automatic control system. To extract behavioral rules we shall be able to both (i) define power plants similarity techniques and (ii) analyze and gather rules from data, making the correct assumptions.","","978-8-8872-3737-5","10.23919/AEIT.2017.8240544","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8240544","energy saving;energy efficiency;machine learning;automatic reasoning","Printers;Energy consumption;Best practices;Data mining;Ovens;Power demand;Energy efficiency","data mining;energy conservation;learning (artificial intelligence);power consumption;power engineering computing;power plants","machine learning;power plants similarity techniques;automatic control system;consumption data;behavioral rules;power consumption;electric loads;automatic detection;energy efficiency","","3","","19","","28 Dec 2017","","","IEEE","IEEE Conferences"
"Machine Learning based Thermal Prediction for Energy-efficient Cloud Computing","I. Nisce; X. Jiang; S. P. Vishnu","Department of Computer Science, California State University; Department of Computer Science, California State University; Department of Computer Science, California State University","2023 IEEE 20th Consumer Communications & Networking Conference (CCNC)","17 Mar 2023","2023","","","624","627","Energy-efficient workload management has been widely adopted by data centers for cloud computing. Thermal and energy modeling plays an important role in making decisions on workload management. Machine learning technology has become increasingly popular used in thermal modeling. In this paper, we studied existing machine learning algorithms and methods for thermal prediction for data centers and conducted experiments to investigate the impact of activities on the temperature and energy consumption with CPU-intensive workload. We collected the CPU utilization, temperature, and energy data, and applied several regression models and the XG Boost machine learning model to predict the temperature of the CPU. Performance of the regression models was compared with the XGBoost machine learning models. With more experiments are been conducting to investigate the CPU temperature under various combinations of CPU core utilizations, we will further improve the performance of the XGBoost machine learning model.","2331-9860","978-1-6654-9734-3","10.1109/CCNC51644.2023.10060079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10060079","Machine Learning;Thermal Prediction;Energy-efficiency Data Center","Temperature distribution;Data centers;Machine learning algorithms;Computational modeling;Machine learning;Predictive models;Thermal management","cloud computing;computer centres;energy consumption;learning (artificial intelligence);power aware computing;regression analysis","CPU core utilizations;CPU temperature;CPU utilization;CPU-intensive workload;data centers;energy consumption;energy data;energy-efficient cloud computing;energy-efficient workload management;machine learning algorithms;machine learning technology;regression models;thermal energy modeling;thermal modeling;thermal prediction;XG Boost machine;XGBoost machine learning model","","","","10","IEEE","17 Mar 2023","","","IEEE","IEEE Conferences"
"Current variations measurements for the estimation of software-related power consumption","T. Laopoulos; P. Neofotistos; C. Kosmatopoulos; S. Nikolaidis","Electronics Laboratory, Physics Department, Aristotle University of Thessaloniki, Thessaloniki, Greece; Electronics Laboratory, Physics Department, Aristotle University of Thessaloniki, Thessaloniki, Greece; Electronics Laboratory, Physics Department, Aristotle University of Thessaloniki, Thessaloniki, Greece; Electronics Laboratory, Physics Department, Aristotle University of Thessaloniki, Thessaloniki, Greece","IMTC/2002. Proceedings of the 19th IEEE Instrumentation and Measurement Technology Conference (IEEE Cat. No.00CH37276)","7 Aug 2002","2002","2","","1637","1642 vol.2","A current measurement configuration for the estimation of the power consumption of low-power processing systems is presented in this work. The problem addressed is to measure the current variations of digital circuits (and especially of embedded processing circuits) and try to identify from these measurements the energy consumption variations associated with certain tasks performed by the system software. Accurate monitoring of the instantaneous variations of the power supply current may provide the appropriate information for the estimation of the power consumption at different operating situations of the processor (core) and of the overall processing system as well (consumption of peripheral units). The proposed instantaneous current measuring approach, along with the execution of special test programs for analysis of inter-instruction effects, is expected to provide clear information of the power behavior of single-chip processing systems.","1091-5281","0-7803-7218-2","10.1109/IMTC.2002.1007205","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1007205","","Current measurement;Power measurement;Energy consumption;Energy measurement;Software measurement;Digital circuits;Performance evaluation;System software;Monitoring;Current supplies","electric current measurement;power consumption;digital circuits;computer power supplies;parameter estimation","current variations measurements;software-related power consumption estimation;low-power processing systems;digital circuits;embedded processing circuits;energy consumption variations;system software;power supply current;peripheral units consumption;instantaneous current measuring approach;inter-instruction effects","","5","","7","IEEE","7 Aug 2002","","","IEEE","IEEE Conferences"
"Estimation of power consumption of each application based on software dependency in android","S. Kurihara; S. Fukuda; S. Yamaguchi; M. Oguchi","Kogakuin University, Tokyo, Japan; Kogakuin University, Tokyo, Japan; Kogakuin University, Tokyo, Japan; Ochanomizu University, Tokyo, Japan","2017 IEEE 6th Global Conference on Consumer Electronics (GCCE)","21 Dec 2017","2017","","","1","2","Several reports showed that the most important issue in smartphones was its power consumption. For saving power consumption, estimating power is important. The power consumption of each application depends on other applications installed in the device. In this paper, we propose a method for estimating power consumption of each application considering this software dependency. We then evaluate the method with intermittently invoked applications and show that the method can estimate power consumption accurately.","","978-1-5090-4045-2","10.1109/GCCE.2017.8229436","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8229436","Android;Battery-draining application;GPS","","Android (operating system);mobile computing;power aware computing;power consumption;smart phones","software dependency;application power consumption estimation;Android;smartphones;power consumption saving","","3","","3","IEEE","21 Dec 2017","","","IEEE","IEEE Conferences"
"Estimation of Power Consumption of Each Application Caused by Device Lock Considering Software Dependency in Smartphones","S. Kurihara; S. Fukuda; M. Oguchi; S. Yamaguch","Electrical Engineering and Electronics, Kogakuin University Graduate School, Tokyo, Japan; Electrical Engineering and Electronics, Kogakuin University Graduate School, Tokyo, Japan; Department of Information Sciences, Ochanomizu University, Tokyo, Japan; Kogakuin Daigaku, Shinjuku-ku, Tokyo, JP","2017 Fifth International Symposium on Computing and Networking (CANDAR)","26 Apr 2018","2017","","","560","564","Several reports showed that the most important problem in smartphones was its power consumption. Detection of battery draining applications based on estimating power consumption of each application is essential for saving power consumption. However, estimating is difficult because the power consumption of an application depends on its device. We think there are dependencies on hardware and software. The software dependency means that the increased and decreased power consumption by installing and uninstalling a certain application depend on the other applications installed in the device. In this paper, we focus on software dependency of power consumption of each application caused by a device lock, called WakeLock, and discuss its estimation. We propose a method for estimating power consumption considering software dependency of WakeLock based on an existing method. We then present an evaluation of the proposed method using practical smartphone applications and demonstrate that the method can estimate the power consumption more accurately than the standard method which does not consider the dependency.","2379-1896","978-1-5386-2087-8","10.1109/CANDAR.2017.56","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8345491","smartphone;Android;WakeLock;software dependency;battery draining application","Power demand;Standards;Androids;Humanoid robots;Operating systems;Estimation","power consumption;smart phones;software engineering","smartphone applications;power consumption estimation;software dependency","","3","2","18","IEEE","26 Apr 2018","","","IEEE","IEEE Conferences"
"Energy consumption powered by graphics processing units (GPU) in response to the number of operating computing unit","I. K. Huzmiev; Z. A. Chipirov","North Caucasian Institute of Mining and Metallurgy, Vladikavkaz, Russian Federation; North Caucasian Institute of Mining and Metallurgy, Vladikavkaz, Russian Federation","2016 2nd International Conference on Industrial Engineering, Applications and Manufacturing (ICIEAM)","27 Apr 2017","2016","","","1","4","The article presents a method of measuring energy consumption with the NVIDIA graphics processing unit and energy consumption in response to the number of operating units. The architecture of graphics processing unit has been considered as well as the method of energy consumption of GPU. The experiment is based on multiplication of matrices. Brief results and dependency of counting time from number of computing elements are also demonstrated. A simple way to understand the difference between a CPU and GPU is to compare how they process tasks. The CPU consists of a few cores optimized for sequential serial processing while the GPU has a massively parallel architecture consisting of thousands of smaller, more efficient cores designed for handling multiple tasks simultaneously.","","978-1-5090-1322-7","10.1109/ICIEAM.2016.7910995","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7910995","microcontroller;energy;efficiency;parallel programming;graphics processing unit (GPU);computing unit;energy consumption","Graphics processing units;Energy consumption;Kernel;Instruction sets;Central Processing Unit;Computational modeling","energy consumption;graphics processing units;matrix multiplication;power aware computing","energy consumption;GPU;operating computing unit;NVIDIA graphics processing unit;matrix multiplication;computing elements;CPU;central processing unit","","3","","5","IEEE","27 Apr 2017","","","IEEE","IEEE Conferences"
"Improved primary energy consumption computing method of combined heat and power systems","Liao Chunhui; Zhao Jianing; Wang lei","School of Municipal & Environmental Engineering, Harbin Institute of Technology, Harbin, China; School of Municipal & Environmental Engineering, Harbin Institute of Technology, Harbin, China; School of Municipal & Environmental Engineering, Harbin Institute of Technology, Harbin, China","2011 International Conference on Materials for Renewable Energy & Environment","27 Jun 2011","2011","1","","995","998","This paper presents an improved primary energy consumption (PEC) computing method of combined heat and power (CHP) systems. The parameters, specific coal consumption for heating and generation, used in traditional method are uncertainty, so the computing results are inaccuracy. Compared with the traditional method, the improved method integrates the CHP plants' regulating property with heat demand characteristic and abandons using the uncertainty parameters. The improved method based on integral needs a little more computing time but the results are more accurate. In this study, the PEC of a practical CHP district heating system is analyzed by both improved and traditional method, including “case 1” and “case 2”. The results indicate that the improved method could obtain more precision value than traditional method.","","978-1-61284-752-8","10.1109/ICMREE.2011.5930969","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5930969","CHP;improved method;PEC;district heating system","Coal;Cities and towns;Boilers;Cogeneration","cogeneration;district heating;power consumption","improved primary energy consumption computing method;combined heat and power system;CHP district heating system;coal consumption;CHP plant;heat demand characteristic;PEC","","1","","12","IEEE","27 Jun 2011","","","IEEE","IEEE Conferences"
"Electric power consumption forecast of life energy sources based on fuzzy neural network","Shao Xiufeng; Zhang Jian","Department of Soft and Information Management, BeiJing City University, Beijing, China; IT Application Department, China Electric Power Research Institute, Beijing, China","2011 IEEE International Symposium on IT in Medicine and Education","16 Jan 2012","2011","1","","309","312","A fuzzy neural network(FNN) with five layers is proposed in this article. Aim at the structure optimization of network, a new node selection method and corresponding back propagation learning algorithm are presented. We use real history data to train the network model at the same time and to forecast the result after the train finished. Test results illustrate its good practicability to power consumption forecast of life energy sources.","","978-1-61284-704-7","10.1109/ITiME.2011.6130840","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6130840","fuzzy neural network;fuzzy integrated judge;electric power consumption forecast of life energy sources","Power systems;Fuzzy neural networks;Vectors;Fuzzy control;Economics;Data models;Predictive models","backpropagation;fuzzy neural nets;power consumption;power engineering computing","electric power consumption forecast;life energy sources;fuzzy neural network;FNN;back propagation learning algorithm","","","","6","IEEE","16 Jan 2012","","","IEEE","IEEE Conferences"
"A light-weight hardware/software co-design for pairing-based cryptography with low power and energy consumption","A. Salman; W. Diehl; J. -P. Kaps","Department of Integrated Science and Technology, James Madison University, Harrisonburg, Virginia; Department of Electrical and Computer Engineering, George Mason University, Fairfax, Virginia; Department of Electrical and Computer Engineering, George Mason University, Fairfax, Virginia","2017 International Conference on Field Programmable Technology (ICFPT)","5 Feb 2018","2017","","","235","238","Embedded electronic devices and sensors such as smartphones, smart watches, medical implants, and Wireless Sensor Nodes (WSN) are making the “Internet of Things” (IoT) a reality. Such devices often require cryptographic services such as authentication, integrity and non-repudiation, which are provided by Public-Key Cryptography (PKC). As these devices are severely resource-constrained, choosing a suitable cryptographic system is challenging. Pairing Based Cryptography (PBC) is among the best candidates to implement PKC in lightweight devices. In this research, we present a fast and energy efficient implementation of PBC based on Barreto-Naehrig (BN) curves and optimal Ate pairing using hardware/software co-design. Our solution consists of a hardware-based Montgomery multiplier, and pairing software running on an ARM Cortex A9 processor in a Zynq-7020 System-on-Chip (SoC). The multiplier is protected against simple power analysis (SPA) and differential power analysis (DPA), and can be instantiated with a variable number of processing elements (PE). Our solution improves performance (in terms of latency) over an open-source software PBC implementation by factors of 2.34 and 2.02, for 256- and 160-bit field sizes, respectively, as measured in the Zynq-7020 SoC.","","978-1-5386-2656-6","10.1109/FPT.2017.8280149","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8280149","ECC;pairing-based cryptography;Montgomery multiplier;hardware-software co-design;system-on-chip;embedded","Software;Cryptography;Field programmable gate arrays;Hardware;Clocks;Sensors;Power measurement","circuit optimisation;energy consumption;field programmable gate arrays;hardware-software codesign;low-power electronics;multiplying circuits;public key cryptography;system-on-chip","cryptographic services;Public-Key Cryptography;PKC;lightweight devices;Barreto-Naehrig curves;optimal Ate pairing;Montgomery multiplier;ARM Cortex A9 processor;System-on-Chip;differential power analysis;open-source software PBC implementation;Zynq-7020 SoC;light-weight hardware/software co-design;energy consumption;embedded electronic devices;cryptographic system;pairing based cryptography;simple power analysis","","9","","21","IEEE","5 Feb 2018","","","IEEE","IEEE Conferences"
"Energy consumption analysis of software polar decoders on low power processors","A. Cassagne; O. Aumage; C. Leroux; D. Barthou; B. Le Gal","Bordeaux INP, IMS Lab, France; Inria / Labri, Univ. Bordeaux, France; Bordeaux INP, IMS Lab, France; Inria / Labri, Univ. Bordeaux, France; Bordeaux INP, IMS Lab, France","2016 24th European Signal Processing Conference (EUSIPCO)","1 Dec 2016","2016","","","642","646","This paper presents a new dynamic and fully generic implementation of a Successive Cancellation (SC) decoder (multi-precision support and intra-/inter-frame strategy support). This fully generic SC decoder is used to perform comparisons of the different configurations in terms of throughput, latency and energy consumption. A special emphasis is given on the energy consumption on low power embedded processors for software defined radio (SDR) systems. A N=4096 code length, rate 1/2 software SC decoder consumes only 14 nJ per bit on an ARM Cortex-A57 core, while achieving 65 Mbps. Some design guidelines are given in order to adapt the configuration to the application context.","2076-1465","978-0-9928-6265-7","10.1109/EUSIPCO.2016.7760327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7760327","","Decoding;Energy consumption;Throughput;Bit error rate;Program processors;Encoding","decoding;energy consumption;software radio;telecommunication power management","software polar decoder energy consumption analysis;SC decoder implementation;successive cancellation decoder implementation;low power embedded processor;software defined radio system;SDR system;ARM Cortex-A57","","4","","25","","1 Dec 2016","","","IEEE","IEEE Conferences"
"Neural Network Pattern Recognition Based Non-intrusive Load Monitoring for a Residential Energy Management System","C. Zhou; S. Liu; P. Liu","College of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; College of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; College of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China","2016 3rd International Conference on Information Science and Control Engineering (ICISCE)","3 Nov 2016","2016","","","483","487","Detailed energy consumption information of household appliance is meaningful for the demand side management (DSM) and home energy conservation. In this paper, a novel non-intrusive load monitoring (NILM) method is proposed for residential energy management systems(REMS). Unlike existing NILM techniques, this method works effectively with very few smart meter measurement parameters obtained at a low sampling rate. A neural network pattern recognition (NNPR) model is utilized in the NILM system for the first time. The proposed method can detect finite-state appliances by changing the number of output neurons. Experimental results indicate that the proposed method provides a very high identification accuracy. Moreover, this method can estimate each appliance detail energy consumption effectively, which is ideal for scheduling the household appliances and participation in the demand respond (DR).","","978-1-5090-2535-0","10.1109/ICISCE.2016.110","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7726207","demand side management (DSM);energy conservation;non-intrusive load monitoring (NILM);residential energy management system (REMS);neural network pattern recognition (NNPR);demand respond (DR)","Home appliances;Neurons;Energy consumption;Artificial neural networks;Monitoring;Training;Biological neural networks","demand side management;domestic appliances;energy conservation;energy consumption;energy management systems;neural nets;pattern recognition","neural network pattern recognition;nonintrusive load monitoring;energy consumption information;household appliance;demand side management;DSM;home energy conservation;NILM method;residential energy management systems;REMS;smart meter measurement parameters;low sampling rate;NNPR;finite-state appliance detection;appliance detail energy consumption","","13","","15","IEEE","3 Nov 2016","","","IEEE","IEEE Conferences"
"Distributed Energy Resources Parameter Monitoring in Microgrids Using Blockchain and Edge Computing","J. Campillo; J. A. Dominguez-Jimenez; H. Ariza; E. D. Payares; J. C. Martinez-Santos","Smart Energy Laboratory, Universidad Tecnológica de Bolívar, Cartagena, Colombia; Hydrogen Research Institute, Université du Quebec a Trois-Rivieres, Quebec, Canada; Systems Engineering Department, Universidad Tecnológica de Bolívar, Cartagena, Colombia; Universidad Tecnológica de Bolívar, Cartagena, Colombia; Systems Engineering Department, Universidad Tecnológica de Bolívar, Cartagena, Colombia","2020 IEEE PES Transactive Energy Systems Conference (TESC)","28 Dec 2021","2020","","","1","5","An increased share of distributed renewable energy sources requires flexible tools for providing reliable and cheap electricity. Smart meters provide information at the consumer level, which could be used as the main source for real-time energy micro-transactions, however, one of the main concerns about direct transactions is information security. Conventional electricity markets rely on centralized information exchange, nevertheless, when intra-day, distributed, electricity consumption and production exchanges are required between customers, this approach might not be enough. This paper presents a proof-of-concept for using Blockchain as a tool for managing the operational transactions in a DC microgrid. The distributed nature of this technology provides an inherently safer approach, by providing an immutable database for transaction history. One of the challenges of using this technology, however, is the required computing power at the nodes and the limited capacity available in the smart meter. To overcome these issues, the authors used a distributed computing technology, -edge computing-, where computation and storage are located closer to the customer, to improve response times by handling the required computational tasks of the Blockchain tool. This approach proved not only to be practically viable but also, offers important insights about the scalability and capabilities of the technology.","","978-1-6654-2935-1","10.1109/TESC50295.2020.9656872","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9656872","Microgrids;Blockchain;Edge Computing;Smart Grids;DER","Transactive energy;Object oriented modeling;Computational modeling;Microgrids;Libraries;Smart meters;Blockchains","distributed power generation;power consumption;power markets;renewable energy sources","distributed energy resources parameter monitoring;microgrids;increased share;distributed renewable energy sources;flexible tools;reliable electricity;cheap electricity;smart meter;consumer level;real-time energy microtransactions;direct transactions;information security;conventional electricity markets;centralized information exchange;intra-day;electricity consumption;production exchanges;operational transactions;DC microgrid;inherently safer approach;transaction history;required computing power;distributed computing technology;edge computing;response times;required computational tasks;Blockchain tool","","1","","24","IEEE","28 Dec 2021","","","IEEE","IEEE Conferences"
"A Convolutional neural network and sequence-to- sequence model based energy disaggregation algorithm for non-intrusive load monitoring","W. Lian; T. Wu; Y. He; Z. Shan; G. Si","Smart Grid Xian Electric Power Supply Company; Smart Grid Shanxi Electric Power Company, Xi'an, China; Smart Grid Xian Electric Power Supply Company; School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, China; School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, China","22nd International Symposium on High Voltage Engineering (ISH 2021)","20 Jun 2022","2021","2021","","654","659","With the achievement of the sensing technology and communication network, the smart monitoring and computing equipment becomes more and more common, which generates the massive data of different types and sampling frequency. The detailed information in the collected electricity usage data shows the load features and residents' electricity utilizing style, and the achievement of artificial intelligence and machine learning algorithms provide better ways for process and analysis. The appliance-level energy consumption information obtained by non-intrusive load monitoring is a great benefit for energy saving by scientific management. For this purpose, this paper adopted an energy disaggregation algorithm based on CNN and Seq2Seq model to analyse the appliances' energy consumption information. We use the local attention mechanism in decoding to process the information in the long source sequence, expected to reduce the information compression and computational complexity. The proposed method for non-intrusive load monitoring succeeds in disaggregation from the total power profiles to target appliance power profiles very close and provides more effective performance than the traditional CNN and LSTM method.","","978-1-83953-605-2","10.1049/icp.2022.0242","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9800622","","","building management systems;computational complexity;convolutional neural nets;domestic appliances;energy consumption;learning (artificial intelligence);load monitoring;power consumption","appliance-level energy consumption information;artificial intelligence;CNN;communication network;computational complexity;computing equipment;convolutional neural network;electricity usage data;energy consumption information;energy disaggregation algorithm;load features;local attention mechanism;long source sequence;LSTM method;machine learning algorithms;nonintrusive load monitoring;sampling frequency;Seq2Seq model;sequence-to-sequence model;smart monitoring","","","","","","20 Jun 2022","","","IET","IET Conferences"
"Edge Computing Technique for a 87% Energy Saving for IoT Device Dedicated to Environmental Monitoring","F. Rivet; L. Foucaud; G. Ferré","IMS Lab., Univ. Bordeaux, Bordeaux INP, Talence, France; IMS Lab., Univ. Bordeaux, Bordeaux INP, Talence, France; IMS Lab., Univ. Bordeaux, Bordeaux INP, Talence, France","2021 IEEE 12th Latin America Symposium on Circuits and System (LASCAS)","28 Jun 2021","2021","","","1","4","In this paper, we propose a method based on polynomial regression to perform data compression at the edge in order to reduce the energy consumption of connected objects. Our study is based on the trade-off between data compression at the edge and minimizing the error on data reconstruction on the server. A polynomial regression was experienced on a two-year database of temperature measurements. The error percentage between our data compression and the real temperature evolution have been assessed to determine the most relevant polynomial regression. A digital implementation of the data compression on an Arduino was carried out with a set of data collected over three weeks of experiments. The analyzis of the results concluded about the efficiency of our method with a reduction of 87% energy with an acceptable accuracy of 0.2° C for temperature data collection.","2473-4667","978-1-7281-7670-3","10.1109/LASCAS51355.2021.9459177","SysNum cluster of Université de Bordeaux and Chauvin-Arnoux; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9459177","Data Aggregation;Polynomial Regression;IoT;Power Consumption","Temperature measurement;Temperature distribution;Energy consumption;Databases;Data compression;Prediction algorithms;Real-time systems","data compression;energy consumption;environmental monitoring (geophysics);environmental science computing;Internet of Things;microcontrollers;polynomials;regression analysis;temperature measurement","Arduino;environmental monitoring;edge computing;polynomial regression;data reconstruction;energy consumption reduction;IoT device;energy saving;temperature data collection;data compression","","","","7","EU","28 Jun 2021","","","IEEE","IEEE Conferences"
"Research on hotel energy intelligent monitoring system and service improvement based on data mining and cloud computing","C. C. Y. Albert; L. Zhu; G. Li; Y. Guo; X. Li; R. Luo","Faculty of Data Science, City University of Macau, Macao, China; Faculty of Data Science, City University of Macau, Macao, China; Faculty of Data Science, City University of Macau, Macao, China; Faculty of Data Science, City University of Macau, Macao, China; Department of Information Management, New China Asset Management Co., Beijing, China; Faculty of Data Science, City University of Macau, Macao, China","2022 IEEE 2nd International Conference on Power, Electronics and Computer Applications (ICPECA)","1 Mar 2022","2022","","","871","874","Many modern hotels have multiple functions such as accommodation, catering, entertainment, conferences, exhibitions, etc., and consume a lot of energy. At present, most of the predictions of building energy consumption are predictions of building cooling and heating loads and lighting energy consumption. The consideration is lack of building cooling (heating) area ratios, building cooling (heating) methods, meteorological parameters, and personnel activity patterns for large public buildings. By analyzing the data mining status of hotel energy consumption, sorting out concepts and technical support conditions, etc., the article has established a more comprehensive energy monitoring, forecasting, and evaluation system, which has enriched the research scope of the current hotel energy management research system, and has a strong Theoretical significance.","","978-1-6654-4276-3","10.1109/ICPECA53709.2022.9719090","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9719090","hotel energy management;hotel service improvement;data minning","Heating systems;Energy consumption;Analytical models;Cooling;Buildings;Predictive models;Data mining","building management systems;buildings (structures);cloud computing;data mining;energy conservation;energy consumption;energy management systems;hotel industry","hotel energy intelligent monitoring system;service improvement;cloud;modern hotels;exhibitions;building energy consumption;heating loads;lighting energy consumption;building cooling area ratios;building cooling methods;personnel activity patterns;public buildings;data mining status;hotel energy consumption;comprehensive energy monitoring;evaluation system;research scope;current hotel energy management research system","","","","13","IEEE","1 Mar 2022","","","IEEE","IEEE Conferences"
