"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QSL7ZCK4","journalArticle","2023","Dong, Xiao; Chen, Yufei; Chen, Jun; Wang, Yucheng; Li, Ji; Ni, Tianming; Shi, Zhiguo; Yin, Xunzhao; Zhuo, Cheng","Worst-Case Power Integrity Prediction Using Convolutional Neural Network","ACM Trans. Des. Autom. Electron. Syst.","","1084-4309","10.1145/3564932","https://doi.org/10.1145/3564932","Power integrity analysis is an essential step in power distribution network (PDN) sign-off to ensure the performance and reliability of chips. However, with the growing PDN size and increasing scenarios to be validated, it becomes very time- and resource-consuming to conduct full-stack PDN simulation to check the power integrity for different test vectors. Recently, various works have proposed machine learning–based methods for PDN power integrity prediction, many of which still suffer from large training overhead, inefficiency, or non-scalability. Thus, this article proposed an efficient and scalable framework for the worst-case power integrity prediction, which can handle general tasks including dynamic noise prediction and bump current prediction. The framework first reduces the spatial and temporal redundancy in the PDN and input current vector and then employs efficient feature extraction as well as a novel convolutional neural network architecture to predict the worst-case power integrity. Experimental results show that the proposed framework consistently outperforms the commercial tool and the state-of-the-art machine learning method with only 0.63–1.02% mean relative error and 25–69× speedup for noise prediction and 0.22–1.06% mean relative error and 24–64× speedup for bump current prediction.","2023-05","2023-07-10 14:37:29","2023-07-10 14:37:29","","","","4","28","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","bump current prediction; convolutional neural network; dynamic noise validation; Power distribution network; power integrity; sign-off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VWHHQX53","journalArticle","2020","Henderson, Peter; Hu, Jieru; Romoff, Joshua; Brunskill, Emma; Jurafsky, Dan; Pineau, Joelle","Towards the Systematic Reporting of the Energy and Carbon Footprints of Machine Learning","J. Mach. Learn. Res.","","1532-4435","","","Accurate reporting of energy and carbon usage is essential for understanding the potential climate impacts of machine learning research. We introduce a framework that makes this easier by providing a simple interface for tracking realtime energy consumption and carbon emissions, as well as generating standardized online appendices. Utilizing this framework, we create a leaderboard for energy efficient reinforcement learning algorithms to incentivize responsible research in this area as an example for other areas of machine learning. Finally, based on case studies using our framework, we propose strategies for mitigation of carbon emissions and reduction of energy consumption. By making accounting easier, we hope to further the sustainable development of machine learning experiments and spur more research into energy efficient algorithms.","2020-01","2023-07-10 14:37:29","2023-07-10 14:37:29","","","","1","21","","","","","","","","","","","","","","","","","Publisher: JMLR.org","","","","climate change; deep learning; energy efficiency; green computing; reinforcement learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LXR78YWJ","conferencePaper","2018","Dutta, Bishwajit; Adhinarayanan, Vignesh; Feng, Wu-chun","GPU Power Prediction via Ensemble Machine Learning for DVFS Space Exploration","Proceedings of the 15th ACM International Conference on Computing Frontiers","978-1-4503-5761-6","","10.1145/3203217.3203273","https://doi.org/10.1145/3203217.3203273","A software-based approach to achieve high performance within a power budget often involves dynamic voltage and frequency scaling (DVFS). Thus, accurately predicting the power consumption of an application at different DVFS levels (or more generally, different processor configurations) is paramount for the energy-efficient functioning of a high-performance computing (HPC) system. The increasing prevalence of graphics processing units (GPUs) in HPC systems presents new challenges in power management, and machine learning presents an unique way to improve the software-based power management of these systems. As such, we explore the problem of GPU power prediction at different DVFS states via machine learning. Specifically, we propose a new ensemble technique that incorporates three machine-learning techniques — sequential minimal optimization regression, simple linear regression, and decision tree — to reduce the mean absolute error (MAE) to 3.5%.","2018","2023-07-10 14:37:29","2023-07-10 14:37:29","","240–243","","","","","","","CF '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Ischia, Italy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8Z5QWVJ","conferencePaper","1994","Jeyasurya, B.","Power System Voltage Instability Monitoring with Artificial Neural Networks","Proceedings of the 7th International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems","2-88449-128-7","","","","","1994","2023-07-10 14:37:29","2023-07-10 14:37:29","","57–62","","","","","","","IEA/AIE '94","","","","Gordon and Breach Science Publishers, Inc.","USA","","","","","","","","event-place: Austin, Texas, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9K58SB8N","conferencePaper","2018","Zhang, Bin; Han, Jian; Ren, Yanlin; Wen, Huimin; Song, Ziye; Gan, Qirui; Wei, Ran; Dang, Xin; Zhou, Bin","An Online Power System Dynamics Prediction Based on Deep Neural Network","Proceedings of the 2018 International Conference on Electronics and Electrical Engineering Technology","978-1-4503-6541-3","","10.1145/3277453.3277464","https://doi.org/10.1145/3277453.3277464","Building Power analysis has drawn more and more attention in recent years. In this paper, we present a system for online power prediction for the public building. It is based on a 4-layers Deep Neural Network that use architectural metrics of the physical machines collected dynamically by our system to predict the physical machine power consumption. A real implementation of our system shows that the prediction accuracy could reach 76.50%.","2018","2023-07-10 14:37:29","2023-07-10 14:37:29","","39–43","","","","","","","EEET '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Tianjin, China","","","","Deep computer architecture; Deep neural networks; Energy management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZMJR6MNW","conferencePaper","2019","Ciftcioglu, Ertugrul; Ricos, Mike","Efficient Power Adaptation against Deep Learning Based Predictive Adversaries","Proceedings of the ACM Workshop on Wireless Security and Machine Learning","978-1-4503-6769-1","","10.1145/3324921.3328787","https://doi.org/10.1145/3324921.3328787","Wireless communication networks are subject to various types of adversarial attacks, which might be passive in the form of eavesdropping, or active in the form of jamming. For the former category, even if the traffic is encrypted, an adversary performing analysis on observed traffic signatures may lead to leakage of the so called contextual information regarding the traffic. New advances in the field of machine learning also result in significantly more complex adversarial units, which may deduce different forms and uses of such contextual information. In this work, we are interested in power adaptation against an intelligent adversary which utilizes deep learning and attempts to perform predictions and time forecasting on the observed traffic traces to estimate the imminent traffic intensities. Based on its traffic predictions, the adversary might possibly activate its jamming mode and utilize its limited power more efficiently to inflict maximal damage. As a method of mitigation, the transmitter may want to increase transmitter power if it expects a higher probability of jamming, and it has a significant amount of upcoming data to transmit. We leverage Lyapunov optimization and virtual queues to meet a certain level of data transmission reliability while also minimizing power consumption.","2019","2023-07-10 14:37:29","2023-07-10 14:37:29","","37–42","","","","","","","WiseML 2019","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Miami, FL, USA","","","","power control; recurrent neural networks; wireless security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HT8QJH7M","conferencePaper","2022","Shanti, Naser; Assi, Akram; Shakhshir, Hamza; Salman, Adnan","Machine Learning-Powered Mobile App for Predicting Used Car Prices","Proceedings of the 2021 3rd International Conference on Big-Data Service and Intelligent Computation","978-1-4503-9055-2","","10.1145/3502300.3502307","https://doi.org/10.1145/3502300.3502307","Buying and selling used cars is a common practice in all countries. When looking to sell a car, the seller decides the price of their car after monitoring the prices of similar cars in the advertisements. When someone is looking to buy a car, they watch advertisements for similar cars to get an idea of the price of the car they want to purchase. Despite the availability of blue books that provide an estimate of automotive pricing, real market prices vary depending on demand and supply. In this paper, we applied cutting-edge machine learning techniques to automate this process. The training data set is up-to-date and it was collected from an active commercial website. We created semi-automated rule-based scripts to clean and prepare the data for machine learning. Several machine learning algorithms were explored to generate an approximate value for the car pricing, including Artificial Neural Network, Support Vector Machine, K-Nearest Neighbors, Random Forest, and Gradient Boosted Decision Tree. To determine the features that most affect the price, extensive data analysis and cleaning were undertaken. Our findings indicate that the testing accuracy is 90%. Finally, a mobile application was created that provides an estimated price of a given car's properties, guiding a user in determining the price of their car. The complete code and the data used to obtain these results can be accessed on GitHub at [1] [19].","2022","2023-07-10 14:37:29","2023-07-10 14:37:29","","52–60","","","","","","","BDSIC '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Xiamen, China","","","","&nbsp; Car price Prediction; Machine learning; mobile application; Regression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7NEEK3XV","conferencePaper","2022","Zhang, Kexin","Application of Data Mining Based on Machine Learning in Automobile Power Prediction","Proceedings of the 2021 5th International Conference on Electronic Information Technology and Computer Engineering","978-1-4503-8432-2","","10.1145/3501409.3501532","https://doi.org/10.1145/3501409.3501532","Automobile power prediction is the key to the automobile industry. Only by reasonably predicting the automobile power can we produce cars that meet the needs of consumers. Compared with traditional methods, machine learning model improves the accuracy of classification in power. Machine learning models include BP neural network, random forest and KNN algorithm. In order to select the optimal vehicle power prediction model, this paper compares the advantages and disadvantages of these three machine learning models through design experiments.","2022","2023-07-10 14:37:29","2023-07-10 14:37:29","","1678–1681","","","","","","","EITCE '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Xiamen, China","","","","automobile power prediction; BP neural network; KNN algorithm; machine learning; random forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SKZ8HZZL","conferencePaper","2017","Rugwiro, Ulysse; Chunhua, Gu","Customization of Virtual Machine Allocation Policy Using K-Means Clustering Algorithm to Minimize Power Consumption in Data Centers","Proceedings of the Second International Conference on Internet of Things, Data and Cloud Computing","978-1-4503-4774-7","","10.1145/3018896.3018947","https://doi.org/10.1145/3018896.3018947","Cloud Computing provides rapid provision of computing resources like processing power, memory, network resources, storage, etc. Running computing resources for longer time, leads energy consumption, increase the emission of Carbon Dioxide (CO2) and increase the expenditure cost for the resources usage. Hence there is a necessity to minimize the execution time to reduce energy consumption in the cloud environment. One of the existing approaches to reducing energy consumption is based on Migration and Placement Policy for Virtual Machine, but still improving placement technique we can further minimize power consumption. In our proposed architecture for cloud resource allocation based on Clustering method, we do map a group of tasks to virtual machines. For clustering, we work on task usage of CPU, memory, and bandwidth. This proposed clustering technique further decreases energy consumption by efficient resource allocation.","2017","2023-07-10 14:37:29","2023-07-10 14:37:29","","","","","","","","","ICC '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Cambridge, United Kingdom","","","","cloud computing; energy efficiency; K-means clustering; virtual machine allocation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KCDV7RW5","conferencePaper","2023","Burger, Mernout; Boer, Csaba A.; Straub, Edwin; Saanen, Yvo A.","Predictive Maintenance Powered by Machine Learning and Simulation","Proceedings of the Winter Simulation Conference","","","","","To optimize the balance between costs and reliability of cranes, it is important to perform maintenance when the risk of failures becomes high while possibly delaying planned maintenance when the crane shows no signs of possible problems. To accomplish this, we investigate the possibility of applying predictive maintenance for container-handling cranes. The application of predictive maintenance requires historical data collection and preprocessing of equipment sensor and maintenance data. To get a feeling of the possibilities and limitations of predictive maintenance for container-handling cranes, before investing time and money to collect operational data, we have used simulations to generate synthetic data for a few components of the cranes. Using the simulated crane data, a prediction model was trained to predict upcoming component failures. The results show that using simulation we can identify the possibilities and limitations of machine learning for predicting failures of components of the crane.","2023","2023-07-10 14:37:29","2023-07-10 14:37:29","","2807–2818","","","","","","","WSC '22","","","","IEEE Press","","","","","","","","","event-place: Singapore, Singapore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2XB5ZET","bookSection","2018","Bengio, Samy; Deng, Li; Morency, Louis-Philippe; Schuller, Björn","Perspectives on Predictive Power of Multimodal Deep Learning: Surprises and Future Directions","The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2","978-1-970001-71-6","","","https://doi.org/10.1145/3107990.3108006","","2018","2023-07-10 14:37:29","2023-07-10 14:37:29","","455–472","","","","","","","","","","","Association for Computing Machinery and Morgan &amp; Claypool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZ3TSMTN","conferencePaper","2017","Chuah, Joon Yee","Machine Learning GPU Power Measurement on Chameleon Cloud","Proceedings of The10th International Conference on Utility and Cloud Computing","978-1-4503-5149-2","","10.1145/3147213.3149450","https://doi.org/10.1145/3147213.3149450","Machine Learning (ML) is becoming critical for many industrial and scientific endeavors, and has a growing presence in High Performance Computing (HPC) environments. Neural network training requires long execution times for large data sets, and libraries like TensorFlow implement GPU acceleration to reduce the total runtime for each calculation. This tutorial demonstrates how to 1) use Chameleon Cloud to perform comparative studies of ML training performance across different hardware configurations; and 2) run and monitor power utilization of TensorFlow on NVIDIA GPUs.","2017","2023-07-10 14:37:29","2023-07-10 14:37:29","","181","","","","","","","UCC '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Austin, Texas, USA","","","","acm proceedings; gpu; machine learning; power","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
