Item type;Authors;Title;Journal;Publication year;Volume;Issue;Pages;Publisher;Address;Book title;Proceedings title;Conference location;Date published;ISBN;ISSN;URLs;DOI;Abstract;Keywords;Notes;Series
Journal Article;Dong X,Chen Y,Chen J,Wang Y,Li J,Ni T,Shi Z,Yin X,Zhuo C;Worst-Case Power Integrity Prediction Using Convolutional Neural Network;ACM Trans. Des. Autom. Electron. Syst.;2023;28;4;;Association for Computing Machinery;New York, NY, USA;;;;2023-05;;1084-4309;"https://doi.org/10.1145/3564932;http://dx.doi.org/10.1145/3564932";10.1145/3564932;Power integrity analysis is an essential step in power distribution network (PDN) sign-off to ensure the performance and reliability of chips. However, with the growing PDN size and increasing scenarios to be validated, it becomes very time- and resource-consuming to conduct full-stack PDN simulation to check the power integrity for different test vectors. Recently, various works have proposed machine learning–based methods for PDN power integrity prediction, many of which still suffer from large training overhead, inefficiency, or non-scalability. Thus, this article proposed an efficient and scalable framework for the worst-case power integrity prediction, which can handle general tasks including dynamic noise prediction and bump current prediction. The framework first reduces the spatial and temporal redundancy in the PDN and input current vector and then employs efficient feature extraction as well as a novel convolutional neural network architecture to predict the worst-case power integrity. Experimental results show that the proposed framework consistently outperforms the commercial tool and the state-of-the-art machine learning method with only 0.63–1.02% mean relative error and 25–69× speedup for noise prediction and 0.22–1.06% mean relative error and 24–64× speedup for bump current prediction.;convolutional neural network, Power distribution network, sign-off, power integrity, dynamic noise validation, bump current prediction;;
Journal Article;Henderson P,Hu J,Romoff J,Brunskill E,Jurafsky D,Pineau J;Towards the Systematic Reporting of the Energy and Carbon Footprints of Machine Learning;J. Mach. Learn. Res.;2020;21;1;;JMLR.org;;;;;2020-01;;1532-4435;;;Accurate reporting of energy and carbon usage is essential for understanding the potential climate impacts of machine learning research. We introduce a framework that makes this easier by providing a simple interface for tracking realtime energy consumption and carbon emissions, as well as generating standardized online appendices. Utilizing this framework, we create a leaderboard for energy efficient reinforcement learning algorithms to incentivize responsible research in this area as an example for other areas of machine learning. Finally, based on case studies using our framework, we propose strategies for mitigation of carbon emissions and reduction of energy consumption. By making accounting easier, we hope to further the sustainable development of machine learning experiments and spur more research into energy efficient algorithms.;climate change, deep learning, green computing, reinforcement learning, energy efficiency;;
Conference Paper;Dutta B,Adhinarayanan V,Feng WC;GPU Power Prediction via Ensemble Machine Learning for DVFS Space Exploration;;2018;;;240–243;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 15th ACM International Conference on Computing Frontiers;Ischia, Italy;2018;9,78145E+12;;"https://doi.org/10.1145/3203217.3203273;http://dx.doi.org/10.1145/3203217.3203273";10.1145/3203217.3203273;A software-based approach to achieve high performance within a power budget often involves dynamic voltage and frequency scaling (DVFS). Thus, accurately predicting the power consumption of an application at different DVFS levels (or more generally, different processor configurations) is paramount for the energy-efficient functioning of a high-performance computing (HPC) system. The increasing prevalence of graphics processing units (GPUs) in HPC systems presents new challenges in power management, and machine learning presents an unique way to improve the software-based power management of these systems. As such, we explore the problem of GPU power prediction at different DVFS states via machine learning. Specifically, we propose a new ensemble technique that incorporates three machine-learning techniques --- sequential minimal optimization regression, simple linear regression, and decision tree --- to reduce the mean absolute error (MAE) to 3.5%.;;;CF '18
Conference Paper;Jeyasurya B;Power System Voltage Instability Monitoring with Artificial Neural Networks;;1994;;;57–62;Gordon and Breach Science Publishers, Inc.;USA;;Proceedings of the 7th International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems;Austin, Texas, USA;1994;9,78288E+12;;;;;;;IEA/AIE '94
Conference Paper;Zhang B,Han J,Ren Y,Wen H,Song Z,Gan Q,Wei R,Dang X,Zhou B;An Online Power System Dynamics Prediction Based on Deep Neural Network;;2018;;;39–43;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2018 International Conference on Electronics and Electrical Engineering Technology;Tianjin, China;2018;9,78145E+12;;"https://doi.org/10.1145/3277453.3277464;http://dx.doi.org/10.1145/3277453.3277464";10.1145/3277453.3277464;Building Power analysis has drawn more and more attention in recent years. In this paper, we present a system for online power prediction for the public building. It is based on a 4-layers Deep Neural Network that use architectural metrics of the physical machines collected dynamically by our system to predict the physical machine power consumption. A real implementation of our system shows that the prediction accuracy could reach 76.50%.;Deep computer architecture, Energy management, Deep neural networks;;EEET '18
Conference Paper;Ciftcioglu E,Ricos M;Efficient Power Adaptation against Deep Learning Based Predictive Adversaries;;2019;;;37–42;Association for Computing Machinery;New York, NY, USA;;Proceedings of the ACM Workshop on Wireless Security and Machine Learning;Miami, FL, USA;2019;9,78145E+12;;"https://doi.org/10.1145/3324921.3328787;http://dx.doi.org/10.1145/3324921.3328787";10.1145/3324921.3328787;Wireless communication networks are subject to various types of adversarial attacks, which might be passive in the form of eavesdropping, or active in the form of jamming. For the former category, even if the traffic is encrypted, an adversary performing analysis on observed traffic signatures may lead to leakage of the so called contextual information regarding the traffic. New advances in the field of machine learning also result in significantly more complex adversarial units, which may deduce different forms and uses of such contextual information. In this work, we are interested in power adaptation against an intelligent adversary which utilizes deep learning and attempts to perform predictions and time forecasting on the observed traffic traces to estimate the imminent traffic intensities. Based on its traffic predictions, the adversary might possibly activate its jamming mode and utilize its limited power more efficiently to inflict maximal damage. As a method of mitigation, the transmitter may want to increase transmitter power if it expects a higher probability of jamming, and it has a significant amount of upcoming data to transmit. We leverage Lyapunov optimization and virtual queues to meet a certain level of data transmission reliability while also minimizing power consumption.;power control, wireless security, recurrent neural networks;;WiseML 2019
Conference Paper;Shanti N,Assi A,Shakhshir H,Salman A;Machine Learning-Powered Mobile App for Predicting Used Car Prices;;2022;;;52–60;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2021 3rd International Conference on Big-Data Service and Intelligent Computation;Xiamen, China;2022;9,78145E+12;;"https://doi.org/10.1145/3502300.3502307;http://dx.doi.org/10.1145/3502300.3502307";10.1145/3502300.3502307;Buying and selling used cars is a common practice in all countries. When looking to sell a car, the seller decides the price of their car after monitoring the prices of similar cars in the advertisements. When someone is looking to buy a car, they watch advertisements for similar cars to get an idea of the price of the car they want to purchase. Despite the availability of blue books that provide an estimate of automotive pricing, real market prices vary depending on demand and supply. In this paper, we applied cutting-edge machine learning techniques to automate this process. The training data set is up-to-date and it was collected from an active commercial website. We created semi-automated rule-based scripts to clean and prepare the data for machine learning. Several machine learning algorithms were explored to generate an approximate value for the car pricing, including Artificial Neural Network, Support Vector Machine, K-Nearest Neighbors, Random Forest, and Gradient Boosted Decision Tree. To determine the features that most affect the price, extensive data analysis and cleaning were undertaken. Our findings indicate that the testing accuracy is 90%. Finally, a mobile application was created that provides an estimated price of a given car's properties, guiding a user in determining the price of their car. The complete code and the data used to obtain these results can be accessed on GitHub at [1] [19].;mobile application,  Car price Prediction, Regression, Machine learning;;BDSIC '21
Conference Paper;Zhang K;Application of Data Mining Based on Machine Learning in Automobile Power Prediction;;2022;;;1678–1681;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2021 5th International Conference on Electronic Information Technology and Computer Engineering;Xiamen, China;2022;9,78145E+12;;"https://doi.org/10.1145/3501409.3501532;http://dx.doi.org/10.1145/3501409.3501532";10.1145/3501409.3501532;Automobile power prediction is the key to the automobile industry. Only by reasonably predicting the automobile power can we produce cars that meet the needs of consumers. Compared with traditional methods, machine learning model improves the accuracy of classification in power. Machine learning models include BP neural network, random forest and KNN algorithm. In order to select the optimal vehicle power prediction model, this paper compares the advantages and disadvantages of these three machine learning models through design experiments.;KNN algorithm, BP neural network, machine learning, random forest, automobile power prediction;;EITCE '21
Conference Paper;Rugwiro U,Chunhua G;Customization of Virtual Machine Allocation Policy Using K-Means Clustering Algorithm to Minimize Power Consumption in Data Centers;;2017;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the Second International Conference on Internet of Things, Data and Cloud Computing;Cambridge, United Kingdom;2017;9,78145E+12;;"https://doi.org/10.1145/3018896.3018947;http://dx.doi.org/10.1145/3018896.3018947";10.1145/3018896.3018947;Cloud Computing provides rapid provision of computing resources like processing power, memory, network resources, storage, etc. Running computing resources for longer time, leads energy consumption, increase the emission of Carbon Dioxide (CO2) and increase the expenditure cost for the resources usage. Hence there is a necessity to minimize the execution time to reduce energy consumption in the cloud environment. One of the existing approaches to reducing energy consumption is based on Migration and Placement Policy for Virtual Machine, but still improving placement technique we can further minimize power consumption. In our proposed architecture for cloud resource allocation based on Clustering method, we do map a group of tasks to virtual machines. For clustering, we work on task usage of CPU, memory, and bandwidth. This proposed clustering technique further decreases energy consumption by efficient resource allocation.;cloud computing, K-means clustering, virtual machine allocation, energy efficiency;;ICC '17
Conference Paper;Burger M,Boer CA,Straub E,Saanen YA;Predictive Maintenance Powered by Machine Learning and Simulation;;2023;;;2807–2818;IEEE Press;Singapore, Singapore;;Proceedings of the Winter Simulation Conference;;2023;;;;;To optimize the balance between costs and reliability of cranes, it is important to perform maintenance when the risk of failures becomes high while possibly delaying planned maintenance when the crane shows no signs of possible problems. To accomplish this, we investigate the possibility of applying predictive maintenance for container-handling cranes. The application of predictive maintenance requires historical data collection and preprocessing of equipment sensor and maintenance data. To get a feeling of the possibilities and limitations of predictive maintenance for container-handling cranes, before investing time and money to collect operational data, we have used simulations to generate synthetic data for a few components of the cranes. Using the simulated crane data, a prediction model was trained to predict upcoming component failures. The results show that using simulation we can identify the possibilities and limitations of machine learning for predicting failures of components of the crane.;;;WSC '22
Book Chapter;Bengio S,Deng L,Morency LP,Schuller B;Perspectives on Predictive Power of Multimodal Deep Learning: Surprises and Future Directions;;2018;;;455–472;Association for Computing Machinery and Morgan & Claypool;;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;;2018;9,78197E+12;;"https://doi.org/10.1145/3107990.3108006;http://dx.doi.org/10.1145/3107990.3108006";10.1145/3107990.3108006;;;;
Conference Paper;Chuah JY;Machine Learning GPU Power Measurement on Chameleon Cloud;;2017;;;181;Association for Computing Machinery;New York, NY, USA;;Proceedings of The10th International Conference on Utility and Cloud Computing;Austin, Texas, USA;2017;9,78145E+12;;"https://doi.org/10.1145/3147213.3149450;http://dx.doi.org/10.1145/3147213.3149450";10.1145/3147213.3149450;"Machine Learning (ML) is becoming critical for many industrial and scientific endeavors, and has a growing presence in High Performance Computing (HPC) environments. Neural network training requires long execution times for large data sets, and libraries like TensorFlow implement GPU acceleration to reduce the total runtime for each calculation. This tutorial demonstrates how to 1) use Chameleon Cloud to perform comparative studies of ML training performance across different hardware configurations; and 2) run and monitor power utilization of TensorFlow on NVIDIA GPUs.";power, gpu, machine learning, acm proceedings;;UCC '17
Conference Paper;Karami E,Rafi M,Ridah A;Output PV Power Prediction Using an Artificial Neural Network in Casablanca, Morocco;;2019;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 4th International Conference on Smart City Applications;Casablanca, Morocco;2019;9,78145E+12;;"https://doi.org/10.1145/3368756.3369084;http://dx.doi.org/10.1145/3368756.3369084";10.1145/3368756.3369084;Optimal use of renewable energy requires its characterization and prediction to size detectors or estimate the potential of power plants [20-21]. In terms of prediction, electricity suppliers are interested in different horizons to manage power plants and predict their production [1-2]. This paper proposes a model for predicting the output power in photovoltaic (PV) panels installed on the rooftop of the Ben m'sik faculty at Hassan II University, Casablanca, Morocco, and this model is based on a multilayer perceptron (MLP) model. In this work, different combinations of weather variables were used to develop this model and for validate the proposed model results different practical measurement methods are used, such as mean square error (MSE), mean absolute error (MAE), correlation (R) and coefficient of determination (R2). The determination coefficient of the proposed model is 0.98501 with an RMSE value of 30.663. The proposed model was tested on new data, the results showed that the model works with a good preferment and that the prediction quality depends on the time of year with a determination coefficient of 0.9972, 0.9856, 0.9487 and 0.9942 for summer, autumn, winter and spring respectively.;artificial neural network, PV system, output PV power, meteorological parameters, prediction;;SCA '19
Conference Paper;Dong X,Chen Y,Yin X,Zhuo C;Worst-Case Dynamic Power Distribution Network Noise Prediction Using Convolutional Neural Network;;2022;;;1225–1230;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 59th ACM/IEEE Design Automation Conference;San Francisco, California;2022;9,78145E+12;;"https://doi.org/10.1145/3489517.3530600;http://dx.doi.org/10.1145/3489517.3530600";10.1145/3489517.3530600;Worst-case dynamic PDN noise analysis is an essential step in PDN sign-off to ensure the performance and reliability of chips. However, with the growing PDN size and increasing scenarios to be validated, it becomes very time- and resource-consuming to conduct full-stack PDN simulation to check the worst-case noise for different test vectors. Recently, various works have proposed machine learning based methods for supply noise prediction, many of which still suffer from large training overhead, inefficiency, or non-scalability. Thus, this paper proposed an efficient and scalable framework for the worst-case dynamic PDN noise prediction. The framework first reduces the spatial and temporal redundancy in the PDN and input current vector, and then employs efficient feature extraction as well as a novel convolutional neural network architecture to predict the worst-case dynamic PDN noise. Experimental results show that the proposed framework consistently outperforms the commercial tool and the state-of-the-art machine learning method with only 0.63--1.02% mean relative error and 25--69× speedup.;;;DAC '22
Conference Paper;Li R,Li,Zhang S;A Deep Learning Prediction Process Based on Low-Power Heterogeneous Multi Core Architecture;;2018;;;220–224;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2nd International Conference on Advances in Image Processing;Chengdu, China;2018;9,78145E+12;;"https://doi.org/10.1145/3239576.3239609;http://dx.doi.org/10.1145/3239576.3239609";10.1145/3239576.3239609;With the rapid development of machine learning both in theory and practice in the past decade. And recently, it is widely used in applications and cloud services. As the emerging field of machine learning, deep learning shows excellent ability in solving complex learning problems. In this paper, we designed a deep learning prediction process based on low-power heterogeneous multi core architecture. Firstly, the fundamental principle of image recognition method based on deep learning reviewed as the basis of the research. Secondly, a set of key algorithm design to parallel access and process image for object detection based on Parallella multi core platform was proposed to improve the detection speed and the computational resource efficiency on single node. Thirdly, Rockchip RK3288 SoC with 4 Arm Cortex-A17 cores hardware platform, Xilinx Zynq and Adapteva Epiphany combined heterogeneous multi core hardware platform was introduced. Some key designs based on Parallella board's architecture to achieve image recognition was proposed to improve the recognition speed and the computational resource efficiency. Finally, The experimental results that based on Parallella board indicate that the proposed image recognition system can achieve nearly 14.8 times speedup than dual-core Arm which was integrated in Parallella board with similar accuracy and achieve 8.6 times speedup than RK3288 board which has the newest series of high-performance Arm core CPU as the control included 4 Arm Cortex-A17 cores.;Epiphany, the deep learning prediction process, multi core, Arm Cortex core, Accelerator;;ICAIP '18
Conference Paper;Li Y,Hu H,Wen Y,Zhang J;Learning-Based Power Prediction for Data Centre Operations via Deep Neural Networks;;2016;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 5th International Workshop on Energy Efficient Data Centres;Waterloo, Ontario, Canada;2016;9,78145E+12;;"https://doi.org/10.1145/2940679.2940685;http://dx.doi.org/10.1145/2940679.2940685";10.1145/2940679.2940685;"Modelling and analyzing power consumption for data centres can diagnose potential energy-hungry components and applications, and facilitate in-time control, benefiting the energy efficiency of data centers. However, solutions to this problem, including static power models and canonical prediction models, either aim to build a static relationship between power consumption and hardware/application configurations without considering the dynamic fluctuation of power; or simply treat it as time series, ignoring the inherit power data characteristics. To tackle these issues, in this paper, we present a systematic power prediction framework based on extensive power dynamic profiling and deep learning models. In particular, we first analyse different power series samples to illustrate their noise patterns; accordingly we propose a power data de-noising method, which lowers noise interference to the modelling. With the pretreated data, we propose two deep learning based prediction models, including a fine-grained model and a coarse-grained model, which are suitable for different time scales. In the fine-grained prediction model, a recursive autoencoder (AE) is employed for short-duration prediction; in the coarse-grained model, an AE is used to encode massive fine-grained historical data as a further data pretreatment for long-duration prediction. Experimental results show that our proposed models outperform canonical prediction methods with higher accuracy, up to 79% error reduction for certain cases.";power modelling, data centre, deep learning, power prediction;;E2DC '16
